"Gene_Symbol","Tabuchi2011b"
"RFC2","0.911764380790795"
"HSPA6","54.1054011306054"
"PAX8","1.00724217350508"
"PTPN21","2.85456617808794"
"EPHB3","1.69985561194339"
"ESRRAP1","0.854115554465162"
"CYP2A6","0.631010040672523"
"MAPK1","0.782077481511636"
"ADAM32","1.00026432518606"
"SPATA17","0.174494472844365"
"PRR22","0.322002314605522"
"VPS18","0.203692051802529"
"MSANTD3","0.850893456812313"
"TIMD4","1.13010160519126"
"CILP2","0.587750905290759"
"PIGX","0.649431045857499"
"SLC39A13","0.722683933630109"
"BEST4","0.395181232664191"
"CORO6","0.830595786558442"
"TMEM106A","1.28564722499169"
"ALG10","0.434875510503312"
"TTC39C","0.980123924962582"
"RAX2","0.766745765450842"
"GIMAP1","0.0594847663862351"
"KLK8","15.6933799095906"
"CFAP53","34.3981075871736"
"CENPBD1P","0.489105566616413"
"TRIOBP","0.357425658002572"
"CATSPER1","0.976711103641591"
"HOXD4","0.549055732514089"
"GSC","1.16001747457296"
"SP7","6.61011001459063"
"PDE7A","1.38647244745119"
"PRSS33","0.475049979871199"
"CBARP","0.567369549678342"
"LEAP2","3.25009185189192"
"SCIN","3.03622739459714"
"CTCFL","0.0823832219310712"
"C4orf33","24.9535241352628"
"TVP23C","1.25844753661517"
"GARIN4","0.115466114641897"
"GAPT","0.692720421103003"
"SCUBE1","0.773023863190694"
"ERICH5","0.256886389492022"
"CCDC185","0.502370203160271"
"ENTHD1","0.0716684207120403"
"TSSK3","0.371086183168445"
"HSPD1P21","0.965149698758146"
"TMEM266","0.982278867768054"
"CALML6","0.445393760931654"
"NLRP5","1.48726815725058"
"ODF4","1.55560459484928"
"CLEC4F","0.678819916130175"
"DEFB106B","7.92816416844822"
"WFDC9","0.182303608733793"
"ZNF22-AS1","0.131489643014544"
"KLHL10","0.139561549810764"
"ZNF485","0.0656503293086138"
"MFSD6L","0.737615169447227"
"ANKAR","0.811190578483156"
"ESX1","1.42614077351853"
"FAM167A-AS1","0.264345450416149"
"SCGB1C2","0.570511390507464"
"DNAJC5G","0.593089829874743"
"WDR88","10.2665003219575"
"PRUNE2","0.0940554520821366"
"MBD3L2B","5.67986662103981"
"MBD3L1","10.3607882963953"
"TENT5D","7.60323716333831"
"SERPINB11","1.17671655179923"
"LINC00161","0.150427709729524"
"DSCR10","0.98197247706422"
"ABHD11","0.753369964114711"
"ACAP2","1.00589351207791"
"GAMT","1.19184972866417"
"MAN1A2","1.00440942527999"
"LACTB","0.786116461545735"
"BNC1","0.352787501113273"
"MPP4","7.83764766244396"
"IDI2","0.216079007160432"
"TAF8","0.378922839854174"
"SLAMF6","1.2508274716019"
"GPBAR1","5.06563661386392"
"RHBDL2","4.50656241329532"
"FRAS1","3.98210729432159"
"BRSK1","0.593399632139794"
"CRB2","0.830979158014367"
"KCNE4","0.194258096155323"
"CPA6","10.1148236386037"
"WBP2NL","0.548200657649887"
"HIPK1","0.369921468960375"
"TMEM74","14.0995700469125"
"TIGD4","1.19323605385155"
"ART5","0.161780517965674"
"GARIN6","0.125298286316717"
"NLRP11","2.10837141743721"
"CLDN19","0.364850538427973"
"IQCD","0.276518156144385"
"TAGAP","1.01799574612373"
"STON2","0.103581458877936"
"SERPINA12","3.41967108601465"
"LETM2","3.25841967437094"
"CLEC4C","0.117556296914095"
"NLRC4","0.815224554645632"
"PRSS36","0.687210566893192"
"ZDHHC15","3.0888509822829"
"ZNF570","0.183427432469623"
"NUDT9P1","0.410186320661419"
"BTBD16","1.39327820022711"
"RTP3","0.202553681817474"
"TSPEAR","6.28068152472239"
"MIPOL1","0.0814961909425039"
"C6orf141","1.44164825665162"
"ALMS1","5.94532033551853"
"MYO3B","2.10832166331047"
"ADAM21","0.182667927447038"
"TRIML2","0.655862226051477"
"IL12RB1","0.979155574638615"
"GTF2A1L","3.77658415377865"
"CNBD1","1.00374390459976"
"ABCC12","3.03472858395868"
"MMP21","1.08814818113997"
"TMEM190","5.32546067724577"
"GAS2L2","0.183988060745875"
"KCNG4","0.563009065454243"
"PXT1","5.32901389598785"
"CACNG5","1.54231565244364"
"LINC00308","3.48410374771155"
"FAM223A","1.68159245590741"
"WFDC11","0.306232556385306"
"IFNL2","3.27120470087052"
"CDC42SE2","0.661721390632545"
"ACACB","0.978209400871624"
"COP1","0.736991328046836"
"SPRR4","1.29539828717104"
"HSH2D","0.711440541680764"
"JMJD6","2.19113083542245"
"PTPN11","13.2866852477657"
"ZNF626","9.79230656720784"
"IL11RA","0.925962634019331"
"TXNDC2","16.8288143953755"
"C5orf22","0.795473398319894"
"PCDHGB7","0.0860990375153952"
"JMJD1C-AS1","0.546173190091693"
"SH2D3C","0.476926427089445"
"IGSF3","0.38100385019251"
"RFX6","0.183305907406383"
"DIRC1","19.6844874037565"
"DNAJB7","17.6420625061068"
"UCN3","0.969332596416969"
"SENP8","0.325970801705808"
"GRHL1","4.12379754648049"
"CNBD2","6.06025403545912"
"ARL11","0.204407931509056"
"NIPA1","4.96950599322785"
"TUBA3FP","1.519116700125"
"CARD16","0.0890483975341439"
"CYB5D1","0.517687732762248"
"RXFP1","14.7746299738641"
"CEP170","0.609755460886272"
"DTD1","0.707821448707677"
"FGF1","4.23922037484625"
"ARPP21","3.80350747353536"
"ADAMTS17","0.255427669146052"
"SNORA17B","1.95200115686667"
"DHH","0.560616570690744"
"ABRA","9.33283300066534"
"WWP2","1.43360239697695"
"ST7L","0.797839601584275"
"C2orf15","0.487009056128626"
"KCNH8","0.109996990277685"
"SLCO6A1","4.30485754733675"
