"Gene_Symbol","Yonoki2006"
"UBA7","1.05241303990932"
"CCL5","0.977594331532916"
"EPHB3","1.0088881805153"
"ESRRAP1","1.03441569591201"
"WFDC2","0.992488791244528"
"MAPK1","1.0640985122385"
"ADAM32","1.09922480770002"
"PRR22","1.05878246025781"
"VPS18","0.990919614741343"
"SLC46A1","0.887841721330609"
"TIMD4","1.04498582853588"
"ATP6V1E2","1.07742777948235"
"AFG3L1P","0.988919759731254"
"CILP2","1.03506560435451"
"SLC39A13","1.05417105961009"
"BEST4","0.963287463101138"
"CORO6","0.970900118476296"
"TMEM106A","1.09107634453626"
"ALG10","0.916261377350815"
"TTC39C","1.0745313085109"
"RAX2","1.04327362106297"
"KLK8","1.05386154636762"
"CCDC65","0.996683602504968"
"PABIR3","0.983504361845371"
"CFAP53","1.38307053433743"
"CENPBD1P","0.854561134276476"
"TRIOBP","0.999435563643238"
"CATSPER1","1.11788844341669"
"HOXD4","1.05946245291247"
"GSC","1.09813069667883"
"SP7","1.11366776108119"
"PRSS33","1.05748129475869"
"LEAP2","1.1136681372145"
"SCIN","1.02100524542147"
"CTCFL","0.945107857447064"
"C4orf33","0.940319905735254"
"ZNF333","1.07954806973266"
"TVP23C","1.02590147169753"
"SRSF12","1.13345989533714"
"GARIN4","1.07939055181801"
"GAPT","1.01279231199682"
"ERICH5","1.01260208954465"
"CCDC185","1.17541930761539"
"ENTHD1","1.02227706443959"
"TSSK3","1.01994795007977"
"HSPD1P21","0.993210041323269"
"BRF1","1.01593174645087"
"TMEM266","1.04694183473022"
"CALML6","1.0357126956028"
"NLRP5","1.04976160444321"
"ODF4","1.01829344459074"
"CLEC4F","1.05719083169692"
"DEFB106B","1.04513400543415"
"WFDC9","1.03120146286925"
"NEDD1","0.928053843247933"
"ZNF22-AS1","0.963405322313446"
"ETV3","1.00196116323146"
"KLHL10","1.11588035737641"
"ZNF485","0.799995695458715"
"MFSD6L","1.00747336125047"
"ANKAR","1.06345735041688"
"MEGF11","1.01911840108031"
"GPR182","1.0000169196864"
"ESX1","1.05192733170936"
"FAM167A-AS1","1.00040535284715"
"SCGB1C2","1.19581079989486"
"DNAJC5G","1.01306935766241"
"WDR88","1.13027871929107"
"MBD3L2B","1.07720364818874"
"ADAMTSL1","1.00673871203052"
"MBD3L1","1.0734600787025"
"TENT5D","0.980051662443455"
"SERPINB11","1.08587178023377"
"DSCR10","1.00400928083676"
"ACAP2","1.05626832025367"
"GAMT","1.01280189289103"
"PLCD3","1.01648266650737"
"LACTB","1.12558921427362"
"MPP4","0.938032851224396"
"AFG1L","1.09100782159435"
"IDI2","1.04995887767021"
"SLAMF6","0.884188271645987"
"ZSCAN20","0.99708676697656"
"GPBAR1","1.09395297670449"
"RHBDL2","1.06514951142984"
"FRAS1","1.00140105421546"
"BRSK1","1.03103081091192"
"CRB2","0.98343194562565"
"CPA6","1.0829356014776"
"WBP2NL","1.06460250869217"
"ACVR1C","1.05260773964791"
"TMEM74","1.1514045723038"
"TIGD4","1.043533683847"
"ART5","1.01847208715263"
"GARIN6","1.09197618897609"
"NLRP11","1.03610396084143"
"ATP6V1C2","1.06993317743247"
"CLDN19","1.0011665192046"
"KIF6","1.01140303707412"
"IQCD","1.05414900317203"
"SERPINA12","1.02640520477221"
"LETM2","0.981882761845819"
"BSND","1.10909315093945"
"NLRC4","0.978268652833511"
"PRSS36","1.0685030622362"
"ZDHHC15","1.0429784116408"
"RAI1","1.03758361858868"
"ZNF570","1.10688949305532"
"NUDT9P1","1.11499460596465"
"BTBD16","1.08434515287619"
"RTP3","0.92640918160897"
"C6orf141","1.01462459048299"
"TRIML2","1.07876308132183"
"IL12RB1","1.10748894606613"
"GTF2A1L","1.06638966054212"
"TRPV3","0.985049810159601"
"CNBD1","1.02173035311089"
"MMP21","1.00914127403446"
"TMEM190","1.06860093817563"
"GAS2L2","1.04612927039617"
"KCNG4","1.0307380666206"
"PXT1","1.12783515573785"
"CACNG5","1.05293522549651"
"LINC00308","1.09954894360093"
"FAM223A","0.894861635684423"
"WFDC11","1.03218413630984"
"ACACB","1.02275612407532"
"ANLN","0.926917244676722"
"SPRR4","0.997688281380145"
"HSH2D","1.02802545629207"
"IL11RA","1.0758987210527"
"TXNDC2","0.95389133489548"
"C5orf22","0.949383801985334"
"PCDHGB7","0.988478292485522"
"JMJD1C-AS1","1.05568208749736"
"RFX6","1.12703455141587"
"DIRC1","1.00377875159903"
"DNAJB7","1.04893342410645"
"UCN3","1.06427980629194"
"USP28","1.07719740704315"
"CNBD2","1.01750907874167"
"ARL11","0.981614141570268"
"TUBA3FP","0.974058289311173"
"CYB5D1","0.921510888557049"
"SLC4A1","1.08414642957413"
"DTD1","1.0436262724475"
"RHOXF1","1.08661886753319"
"ADAMTS17","0.97930202325634"
"SNORA17B","1.12628297664261"
"DHH","1.07148376752294"
"ABRA","1.08239410083313"
"KLHDC1","1.14549947735895"
"WWP2","1.08709688177051"
"C2orf15","1.13134015011371"
"KCNH8","1.00571352731137"
"MCF2L","0.999881842488478"
"SLCO6A1","0.9239174646262"
"PP2D1","1.09937374800542"
"CIB3","1.02041176091507"
"CADM2","1.09479469419328"
"DOCK8-AS1","1.05629318202609"
"SLC16A11","1.03158431571329"
"ZNF625","1.03550672876945"
"ZNF563","1.09393182115733"
"CLEC4D","1.03633123648973"
"GPRC6A","1.00995894373455"
"ZNF417","1.0091808332714"
"HELB","1.01689634540496"
"SEC62","0.791503771823351"
"SOCS4","0.814198887713491"
"LINC02904","1.06547085974066"
"SIM1","0.955451673624445"
