"Gene_Symbol","Court2017"
"SLC35E2A","1.00534796011399"
"RPS28","0.978895198745355"
"IPO13","1.0329449767647"
"PRSS41","1.01648228696427"
"FAM86FP","1.01050072484268"
"AFAP1","1.00508729039823"
"CDT1","0.999380815914213"
"PDE4DIP","1.01502016384294"
"WIPF3","0.9802343856171"
"UGP2","0.99771265206865"
"CCNE2","0.979097115289891"
"HNRNPAB","1.01221807894682"
"BORCS5","1.00364979524688"
"SNIP1","0.902967196110507"
"C8orf89","0.998536564661135"
"COL17A1","0.982936544664175"
"BCL6B","0.988802031384678"
"ATP13A4","1.00986783950459"
"AFDN","1.02153618555166"
"HMG20B","1.00116581326524"
"CD69","1.00661672681624"
"KCNG4","1.00142426430245"
"MLYCD","0.999999710774558"
"UHRF1BP1L","0.986241018741552"
"NOC2LP2","0.981638501679404"
"ITGA11","1.01278117950922"
"SERTAD2","1.01228498702006"
"SPP1","0.974139508463119"
"HBE1","0.98808470743974"
"ZBED2","0.987941668917456"
"USP21","1.01464940614936"
"RHD","1.00936161745529"
"AUP1","0.999909131344259"
"MFN2","1.00861674904284"
"DERL3","0.99979622630726"
"SYTL2","0.993249099907204"
"SELENOM","1.0161294868367"
"DCK","0.980627184856858"
"ZFPM1","1.05786963165835"
"RNF224","1.00410893306136"
"GPR32","0.986334684407589"
"KDM2B","0.996636063912799"
"COX11","1.00358035896455"
"CYP26A1","0.997987340849994"
"WNT2B","1.00351027466743"
"GADD45G","0.943128966608161"
"ABCD4","1.00100112754795"
"FAM193A","1.07035733966978"
"TGS1","0.988889686769371"
"PYROXD1","0.962572411134991"
"MTREX","0.990979114558622"
"TMEM217","0.974592728291045"
"NUMBL","1.05445073308688"
"GRM5P1","1.00837836379637"
"HDAC8","0.993641187947968"
"SEMA3E","0.999410395633859"
"POGLUT3","1.00034925220858"
"MYO15B","1.00350918771846"
"MUC13","1.00370093121596"
"XRCC2","0.981312492593744"
"AQP3","0.993966755788833"
"MARK4","0.998509848931025"
"SPRED3","1.00661598915293"
"C6orf201","1.01233044329412"
"CYP2A13","0.987734152471211"
"GPC2","0.990707215463573"
"RTN3","0.983120979354467"
"EEF1A1","1.00597052053956"
"KIAA0586","0.985835401487319"
"FAM135B","0.996381521591396"
"STK10","1.03842055412852"
"GSG1","1.00021842651303"
"EPS8","0.968750720170999"
"CAT","0.990095732252846"
"RESP18","0.999584373357744"
"IQCD","1.00853399318927"
"RNF2","0.995474805389491"
"ADAMTS20","1.01603049860366"
"MBTPS1","0.994091019625237"
"OOEP","1.00222848172126"
"TGOLN2","1.04275675047697"
"ARMCX3","0.989442096242657"
"TMEM25","0.995023604065308"
"TASL","0.992810160982941"
"TYW3","1.00163165189675"
"TFDP3","1.00503006816039"
"MRTFA","1.05954536794674"
"ZFYVE16","1.00451933452504"
"RRAGB","0.992359192619084"
"FHOD1","1.03964041829344"
"MSH5","1.00897029292587"
"MAP3K11","1.06553515568623"
"SLC38A2","0.978785715109451"
"TIPARP-AS1","0.993449788412641"
"GALNT11","1.01794398149009"
"BASP1","0.999817895034996"
"CCT3","0.979682471612062"
"EHD1","1.04511016249419"
"RND1","1.01235955278899"
"EML6","1.01970222757353"
"ITSN1","1.00547368379995"
"RPS16","1.00125804644062"
"UBIAD1","1.06760195567412"
"CWF19L1","0.988443185052469"
"RPL19","0.993665282851453"
"KCNA4","1.01063333959635"
"RASL11A","1.00247430537136"
"MBD3L2","0.982026102959427"
"KMT5A","1.00083482174194"
"OR6C76","0.999032940277615"
"ANK3","0.989506232742837"
"SCYL3","0.997890067010068"
"TPST1","1.03411508099144"
"TP53I3","1.02829009410063"
"CCDC167","0.99438926371817"
"SMC1A","1.00436939913212"
"KNSTRN","1.0430850553676"
"PPEF1","1.01772694371346"
"DHX57","0.988478275181034"
"AGFG2","1.00178282609568"
"UPP2","1.00201571524643"
"KCNMB1","0.996195488620224"
"SNED1","1.00487697491635"
"NIM1K","1.00297253927819"
"ELF4","1.04208889124955"
"MPHOSPH10","0.990390759281768"
"PAPOLB","1.00993060527233"
"HMGN1","0.989939972743656"
"LMBRD1","0.971890242814808"
"LRBA","0.995841451707217"
"DVL2","1.00082205451335"
"UNC93B1","1.01981486538975"
"GUCY1B2","0.992044412231067"
"LINC00273","1.0101579449534"
"CDKN2C","1.00682816373568"
"KRTAP9-8","1.00552458995042"
"EPG5","1.00705779580522"
"CCM2","1.01202398291966"
"COX4I1","1.00478320905493"
"UQCR10","0.993589815301771"
"NOL4L","0.992510247704901"
"WDR91","1.02963308658713"
"ATAD5","1.00222136129638"
"CBR3","1.05639605969951"
"VWA5B1","1.00194670271724"
"POPDC3","1.00963468492767"
"MAGEA3","1.00935572207474"
"SECTM1","1.01195643132723"
"NOG","1.00640575086279"
"EVX2","0.994336613450129"
"ZNF507","0.992217084703825"
"MEGF10","1.00973950527064"
"TTC8","0.998604868365861"
"RNF215","1.00077050959128"
"FN3KRP","1.0313487248892"
"PDHX","0.968166404008236"
"DNAH14","1.00590698958621"
"ELAPOR2","0.999901256166148"
"SUCLG2","1.00355669640102"
"TRPT1","0.992681766934738"
"ZMYND8","1.00362669294735"
"SPATA7","1.07370604991107"
"UCN2","0.994263079178819"
"CA1","0.996300456470048"
"MTHFD2L","0.976072446446118"
"PARD3B","0.999067497755054"
"TUBA3E","1.00683763605632"
"SLC26A4","0.994753969660755"
"FAM86B2-DT","1.01918218354623"
"BRAF","0.984978025451257"
"MANSC1","1.00854049098441"
"APEX2","1.02120083468065"
"MTMR9","1.02601611098962"
"MVB12B","1.00225862803308"
