"Gene_Symbol","Tabuchi2011c"
"HSPA6","58.2533464163323"
"UBA7","0.814781468669541"
"EPHB3","5.60758737914354"
"ESRRAP1","0.445968013984298"
"MAPK1","0.662511870229206"
"ADAM32","0.651863079553621"
"SPATA17","0.079530252339598"
"PRR22","0.0516541292200864"
"VPS18","0.194003698617396"
"MSANTD3","0.565502823682991"
"TIMD4","0.310842156193078"
"CILP2","0.102900522408332"
"PIGX","0.552644805367423"
"SLC39A13","0.475986240388507"
"BEST4","0.175477175497156"
"AK9","0.377252519417826"
"CORO6","0.378581381778912"
"TMEM106A","0.30759863853389"
"ALG10","0.382091239030048"
"RAX2","0.891536855355541"
"EYA3","0.589079985875978"
"KLK8","3.38232164291978"
"CCDC65","2.0143538432766"
"PABIR3","1.99113048500433"
"CFAP53","21.3543973111171"
"RBBP6","0.201713824568358"
"CENPBD1P","0.205163822172097"
"TRIOBP","0.213759127542033"
"CATSPER1","0.660537325258249"
"HOXD4","5.09602879921594"
"GSC","0.834249504411452"
"SP7","3.90667536769006"
"PRSS33","2.31281640138085"
"LEAP2","2.11709707448907"
"SCIN","0.02462234542084"
"CTCFL","0.702979270296678"
"C4orf33","0.388895210661326"
"TVP23C","0.732275951193124"
"GARIN4","0.140153691029088"
"GAPT","0.369269649479603"
"ERICH5","19.4961545583606"
"CCDC185","0.131160303834176"
"ENTHD1","0.0225316494497747"
"TSSK3","0.269951442445016"
"HSPD1P21","1.19579952047215"
"TMEM266","0.2020451123046"
"BACH1","0.20224838382558"
"CALML6","0.769023844842474"
"NLRP5","0.0625100622628181"
"ODF4","7.13817947586273"
"CLEC4F","0.860726871813045"
"DEFB106B","3.30634542766358"
"WFDC9","0.989744278168076"
"ZNF22-AS1","0.490919137235813"
"ETV3","0.411302462103674"
"KLHL10","0.0814877086714342"
"ZNF485","0.0231888026238698"
"WDR17","4.05939796825991"
"MFSD6L","0.45395416764761"
"ANKAR","0.499274684727944"
"MEGF11","5.13951122136517"
"GPR182","3.82911294401833"
"ESX1","1.07689826527835"
"FAM167A-AS1","3.29925320294444"
"SCGB1C2","0.20910169809132"
"DNAJC5G","2.50657666319472"
"WDR88","0.45341194462331"
"PRUNE2","0.0266169414030996"
"MBD3L2B","0.931993442466397"
"MBD3L1","1.59644803825783"
"TENT5D","2.52076201418613"
"SERPINB11","0.646943919447076"
"DSCR10","0.154887660275262"
"GAMT","0.745861986926031"
"IRF6","0.0332873160903184"
"PTPRC","0.331601183754527"
"LACTB","0.447416945243791"
"MPP4","1.67757485432268"
"AFG1L","0.630682553206675"
"IDI2","1.37101990627759"
"CYP11B1","0.318801690214677"
"COBL","0.302853409859779"
"SLAMF6","0.521691820892804"
"GPBAR1","0.587804293682058"
"RHBDL2","3.96728443960127"
"BRSK1","0.804987784299815"
"CRB2","7.10855494466776"
"KCNE4","0.0753732710180978"
"CD300LG","0.560017584482297"
"CPA6","12.1867800033334"
"WBP2NL","0.377613632880743"
"HIPK1","0.0484707943988811"
"TMEM74","0.20163206066171"
"TIGD4","0.168349385018047"
"ART5","0.182493005797076"
"GARIN6","0.476913046569252"
"NLRP11","0.497675983986963"
"CLDN19","0.189671556242694"
"IQCD","0.880453402058674"
"SERPINA12","0.278727605095044"
"LETM2","3.36016167596493"
"BSND","0.311823201573221"
"NLRC4","0.43132305208456"
"PRSS36","0.121224158442129"
"ZDHHC15","0.705365480033933"
"NUDT9P1","0.447343644922663"
"BTBD16","1.53009233110779"
"RTP3","0.162458930879307"
"TSPEAR","20.0391570425623"
"MIPOL1","0.390780128049848"
"ALMS1","3.25268348886521"
"TRIML2","1.92104142527506"
"ABCC13","0.209812261926356"
"GTF2A1L","2.04599752510637"
"CNBD1","2.43967768525009"
"ABCC12","3.34268589806062"
"MMP21","0.336986827600797"
"TMEM190","1.31711932677161"
"GAS2L2","0.249936404156143"
"KCNG4","0.426508829807879"
"PXT1","4.38148329282329"
"CACNG5","0.159867380614585"
"LINC00308","2.44548541877214"
"FAM223A","0.169735810394037"
"WFDC11","0.768089499886852"
"IFNL2","1.83637006608029"
"ACACB","0.2405274983789"
"COP1","0.544606674524171"
"SPRR4","0.866381674496762"
"HSH2D","0.934228058963338"
"KLHDC7B","0.385170566192935"
"ZNF626","5.79762737726757"
"IL11RA","0.572247056601398"
"RFFL","0.332095676468228"
"PCDHGB7","0.0702183673602377"
"JMJD1C-AS1","0.57838944391223"
"RFX6","0.824603130704132"
"DIRC1","5.27893050040221"
"DNAJB7","8.75985818176742"
"UCN3","0.815793375840826"
"KNL1","0.421504920179653"
"GRHL1","6.68924187773549"
"CNBD2","5.09402619740672"
"CASKIN1","0.144032658669344"
"ARL11","0.145872996824758"
"TUBA3FP","0.190042801409038"
"CARD16","1.01039243094099"
"DUSP19","2.34162258260342"
"CYB5D1","0.297977127282091"
"RXFP1","0.237632950844876"
"DTD1","0.372062227365797"
"FGF1","4.77922089092645"
"RHOXF1","0.0987048807204654"
"ADAMTS17","0.295016232936396"
"SNORA17B","1.30814923580057"
"DHH","0.446991131259248"
"ABRA","6.8783499667332"
"KLHDC1","0.296148782258266"
"RICTOR","0.497224728814736"
"C2orf15","0.140972323114921"
"KCNH8","0.578286221552044"
"SLCO6A1","0.626863766210785"
"PP2D1","6.80429890822581"
"CIB3","0.536669619644832"
"DOCK8-AS1","0.0560919224911201"
"SLC16A11","0.692188175034456"
"TMEM67","0.0667522464698331"
"HS6ST2","1.01653628906894"
"ZNF625","0.202960322654827"
"ZNF563","0.308466871523986"
"CLEC4D","0.559287235419387"
