"Gene_Symbol","Amaya2014a"
"SLC35E2A","0.916877332113872"
"RPS28","1.2514130366977"
"IPO13","1.9565525207811"
"PRSS41","0.905375188476"
"FAM86FP","0.860861518162457"
"CDT1","2.23876480822622"
"TRPV1","0.859859622832527"
"WIPF3","0.990529313401514"
"HNRNPAB","0.816187689502869"
"BORCS5","0.932962161982813"
"SNIP1","1.25779360082647"
"C8orf89","0.845045852889927"
"COL17A1","2.97224217044115"
"BCL6B","0.912723197534981"
"ATP13A4","0.979787104347554"
"AFDN","0.89144322600188"
"HMG20B","0.817572694862677"
"CD69","0.887900272994438"
"KCNG4","0.894746685672397"
"MLYCD","1.28033530159161"
"NOC2LP2","1.02629372255017"
"SERTAD2","0.539728072461349"
"HBE1","0.794983940260629"
"ZBED2","1.63745086622252"
"RHD","0.90743436868273"
"AUP1","1.11459913270647"
"MFN2","0.921975396032555"
"LILRA6","0.912936046348652"
"DERL3","0.980167716674477"
"SYTL2","0.99142772909316"
"SELENOM","0.680049521433404"
"CTRB2","0.874849906605973"
"DCK","0.488228854279101"
"ZFPM1","1.11192175076075"
"RNF224","0.928237381864039"
"GPR32","0.909366341210876"
"COX11","0.742452111939588"
"WNT2B","0.998406747929258"
"GADD45G","1.969573492576"
"ABCD4","0.887412593061833"
"FAM193A","0.885973808018009"
"PYROXD1","0.880541607257899"
"MTREX","1.27337450933421"
"TMEM217","0.866195636516998"
"NUMBL","1.022186885086"
"HDAC8","0.751810159175764"
"RGS5","0.895752442701711"
"POGLUT3","0.579668500011787"
"MYO15B","0.932365642541612"
"MUC13","0.916375117841751"
"AQP3","0.97202499099567"
"MARK4","0.920615392187907"
"C6orf201","0.95510164477691"
"GPC2","0.913065175681972"
"ADAM33","0.923296903427497"
"KIAA0586","0.735335307198275"
"FAM135B","0.89508242716136"
"STK10","0.891139418864728"
"GSG1","0.878198003146631"
"EPS8","1.10151381305927"
"RESP18","0.899156784926187"
"IQCD","0.949025794262558"
"RNF2","0.905352813264438"
"ADAMTS20","0.922651496748239"
"TGOLN2","0.601550530107737"
"TMEM25","1.11649215702241"
"TFDP3","0.855240586855441"
"MRTFA","1.08959284344279"
"ZFYVE16","0.729571036377628"
"FHOD1","1.64579188300422"
"MSH5","0.915698983464515"
"MAP3K11","1.5454715072392"
"SLC38A2","1.98627665184046"
"TIPARP-AS1","0.903468186355759"
"GALNT11","0.608714502357204"
"BASP1","0.577844017374879"
"CCT3","1.22882004879149"
"EHD1","1.61243827943627"
"RND1","0.990808258192221"
"EML6","0.92315463956357"
"RPS16","0.880389342228588"
"UBIAD1","1.47863584406781"
"EVC","0.859056501781484"
"CWF19L1","1.29744472107886"
"KCNA4","0.953540407987145"
"RASL11A","0.994929067363843"
"MBD3L2","0.884960353368249"
"OR6C76","0.945210567826302"
"ANK3","0.896876046655245"
"TPST1","0.53426956237374"
"CCDC167","1.08551882713819"
"SMC1A","0.906408999822005"
"KNSTRN","0.416135573208772"
"CSNK1G3","0.562998394088882"
"UPP2","0.90754492419056"
"KCNMB1","0.894970059324659"
"SNED1","0.898870312623303"
"NIM1K","0.869291050909416"
"ELF4","1.13611953707011"
"PAPOLB","0.901092276817569"
"LMBRD1","1.04406045026245"
"NPY4R","0.893523503186425"
"MRPL43","1.59291077376061"
"LRBA","0.873242428202907"
"DVL2","0.99777967155905"
"GUCY1B2","0.937680708149865"
"CDKN2C","0.661578399536074"
"KRTAP9-8","0.895661653644078"
"KIF2B","0.874330271034014"
"COX4I1","1.37688256715924"
"NOL4L","0.935318963594204"
"WDR91","0.952602868618198"
"CBR3","1.11191743397253"
"POPDC3","0.955384948382956"
"MAGEA3","2.09144284120308"
"SECTM1","1.01497206533148"
"FBXO32","0.893861785298122"
"NOG","0.839219134014686"
"EVX2","0.854078236637402"
"ZNF507","0.866461547246368"
"MEGF10","0.879207716619153"
"RNF215","1.00299218188827"
"FN3KRP","1.29371585996057"
"PDHX","1.75518149936753"
"ELAPOR2","0.896353532664982"
"IPO7","0.401399849494828"
"SUCLG2","0.546361647406382"
"DCHS2","0.911356961866668"
"ZMYND8","0.452992310838339"
"SPATA7","0.872150211447009"
"UCN2","0.671515512733395"
"CA1","0.969358032006202"
"MTHFD2L","1.06117793216475"
"KRTAP3-1","1.23417675799055"
"TMEM98","0.854557716290139"
"TUBA3E","0.916861438829556"
"SLC26A4","0.860000243994865"
"BRAF","0.932952102668866"
"THAP7","1.22553817053857"
"RIOK1","0.757163495953868"
"APEX2","1.0679483102726"
"MTMR9","0.641595902511192"
"RELL2","1.34659984253325"
"TSHB","0.959763427006893"
"POLD1","1.07001904535483"
"ACTR5","0.860481452811804"
"LMNTD2","0.946706181312125"
"GLIPR2","1.05806362436733"
"INPP4A","0.993207574179683"
"SHH","0.903424320996411"
"FAM131B","0.772793679474628"
"RPP38-DT","0.922435759118611"
"TMCO5A","0.955313393845293"
"ATP5MJ","1.0616491737789"
"RPS6KA3","0.563416748054273"
"ERF","0.949787819622651"
"PAAF1","0.822194778577488"
"ZNF428","1.02643680255539"
"HIC2","0.854802195280368"
"SMIM20","0.960786984079007"
"CDC42EP2","0.803956928881636"
"PIK3AP1","0.963735448230332"
"CLK1","0.780897054868384"
"FAM174B","2.03409087472909"
"HOXA3","0.893862006168058"
"IL10RA","0.900518796210263"
"PCYT2","1.17425865890638"
"SLC15A1","0.968438730993"
"LMX1B","0.964650888980742"
"GBGT1","1.10078254529432"
"CDC5L","0.889746431289858"
"EZH2","0.502728814403512"
"RHOF","1.00241269310268"
"ORAI2","0.885301107293568"
