"Gene_Symbol","Amaya2014a"
"SLC35E2A","1.03718746722002"
"RPS28","1.16574140348782"
"IPO13","0.775538344374935"
"PRSS41","1.06212253269507"
"FAM86FP","1.13259455590668"
"CDT1","1.07484206469071"
"WIPF3","1.06586620991017"
"CCNE2","1.01706050031905"
"BORCS5","1.0178441614043"
"SNIP1","0.615222400216965"
"COL17A1","1.1226212605199"
"BCL6B","1.05099791040118"
"ATP13A4","1.05242389540054"
"AFDN","0.988949246102014"
"HMG20B","0.763661761218693"
"KCNG4","1.08866263834304"
"MLYCD","0.803550899173909"
"NOC2LP2","0.868411336132146"
"SERTAD2","0.426904828005554"
"HBE1","1.04669907123471"
"ZBED2","1.05901962245043"
"USP21","1.02282534591465"
"RHD","1.13643375837436"
"AUP1","1.23610776151447"
"MFN2","0.696588687109497"
"ABCA9","1.1398329159695"
"SYTL2","0.585034988348237"
"SELENOM","1.19406109800952"
"DCK","0.462324139230121"
"ZFPM1","1.00205370836661"
"RNF224","1.10363651261681"
"GPR32","1.09463420716339"
"WNT2B","1.14668795498328"
"H2BC5","0.752435331004701"
"GADD45G","1.0772778146476"
"ABCD4","1.06626360167956"
"FAM193A","0.747324943695439"
"TGS1","0.890057946352515"
"PYROXD1","1.15240397813457"
"MTREX","0.705491532131353"
"TMEM217","1.1224173378069"
"NUMBL","1.00594388777555"
"HDAC8","0.95090773244139"
"POGLUT3","0.609487343731313"
"MYO15B","1.07379869671534"
"LINC00452","1.09400975863964"
"MUC13","1.05085459136219"
"XRCC2","1.01095021430667"
"AQP3","0.930956817568069"
"FBXO44","1.02204673642722"
"MARK4","1.08000284181911"
"C6orf201","1.05655307817258"
"EXOC6","0.653270788916049"
"GPC2","0.985702253792585"
"ASB11","0.941197014029767"
"RTN3","1.02017881895685"
"KIAA0586","0.795891373166535"
"STK10","0.935606770951969"
"EPS8","0.941804417179314"
"RESP18","1.09608370807871"
"IQCD","0.988482317325907"
"RBM11","1.01437009683863"
"RNF2","1.05835338334241"
"ADAMTS20","1.08204250325742"
"MBTPS1","0.59955753022445"
"TGOLN2","0.553264060746248"
"TMEM25","1.07407483085393"
"TFDP3","1.06880444978639"
"MRTFA","0.965987708527971"
"ZFYVE16","0.762119148225122"
"FHOD1","0.750405599482824"
"MSH5","1.05790011650739"
"MAP3K11","0.83096525101454"
"RORC","1.01780725713817"
"SLC38A2","0.472034017457561"
"TIPARP-AS1","1.06046314932564"
"GALNT11","0.70903438640875"
"BASP1","0.939978708324002"
"CCT3","0.944090886673341"
"EHD1","0.889059705722933"
"RND1","1.14280077299326"
"EML6","1.07721631653364"
"UBIAD1","1.11541476830937"
"CWF19L1","0.857086467475777"
"KCNA4","1.01499350807133"
"RASL11A","1.02531725954091"
"KMT5A","0.676717065256638"
"OR6C76","1.06757442931448"
"TPST1","0.759049575392235"
"TP53I3","1.04203035270894"
"CCDC167","1.02154955375186"
"SMC1A","0.809870729632198"
"KNSTRN","0.813250077480083"
"CSNK1G3","0.45887007454583"
"UPP2","1.09088725010738"
"KCNMB1","1.11892749098778"
"NIM1K","0.822759949239312"
"RPS23","1.26665170460121"
"ELF4","0.743129253510048"
"PAPOLB","1.06778567104277"
"LMBRD1","0.61806548361843"
"TJP2","1.02066190293642"
"DVL2","0.886436637249303"
"GUCY1B2","0.994904416109033"
"LINC00273","1.08946823781056"
"CDKN2C","1.00591154368091"
"KRTAP9-8","1.05509622418806"
"IL4R","0.677267233096755"
"COX4I1","1.07777870620008"
"NOL4L","1.01249110751456"
"WDR91","0.980808039202276"
"CBR3","0.879154515606597"
"POPDC3","1.08211908138814"
"PTPA","1.16679808436133"
"MAGEA3","0.987079272499572"
"SECTM1","1.08100146099072"
"FBXO32","1.09015941512849"
"NOG","1.10770218040625"
"EVX2","1.0644655222465"
"ZNF507","1.03180931523747"
"MEGF10","1.16018047759097"
"RNF215","1.12360971160797"
"FN3KRP","0.960132141374767"
"PDHX","0.591873407884171"
"NLRP7","1.12385742879557"
"ELAPOR2","0.807897625009902"
"IPO7","0.787873184566843"
"SUCLG2","0.743950887337778"
"DCHS2","1.07993003479615"
"TRPT1","1.0527533400039"
"ZMYND8","0.416397379539121"
"SPATA7","0.835102335756641"
"UCN2","1.0328768422352"
"CA1","1.05741956666695"
"MTHFD2L","0.996833054478848"
"PARD3B","1.05466809588642"
"TUBA3E","1.06331412035637"
"SLC26A4","1.07859819677181"
"BRAF","0.998276176247813"
"THAP7","0.979217985287531"
"MANSC1","0.763107754699943"
"APEX2","0.760999971013457"
"C2CD2","0.671812044933982"
"MTMR9","0.6804768548382"
"MVB12B","0.772855776851793"
"RELL2","0.871713573292891"
"TSHB","1.09451217426626"
"POLD1","0.799634239490058"
"ACTR5","0.986774738192939"
"LMNTD2","0.966429759352339"
"GLIPR2","0.926962683026711"
