"Gene_Symbol","Andocsa"
"FBXO39","1"
"B3GNT6","0.965842167255595"
"ZNF619","1"
"GARIN2","1"
"SLC26A1","1"
"RAB42P1","1"
"PTCHD1","1"
"M1AP","1.00021061499579"
"ZSCAN4","1.00231676495366"
"VWA5B1","0.971073538398859"
"LINC00311","1"
"HTR6","1"
"MAGEB6","1"
"ELOA3DP","1"
"RUSC1-AS1","0.942252948352989"
"CACNG6","1"
"LMNTD1","1"
"CIRBP-AS1","1.00378151260504"
"AXDND1","1.00734676742233"
"ASMTL-AS1","1.00520188258608"
"CD200R1","1.00165906262961"
"LINC00334","0.999789429353548"
"ATOH7","1"
"ATOH7","1"
"CRYZL2P-SEC16B","1.00871575951619"
"AMER1","1"
"NKX6-3","0.998772001637331"
"TBATA","1"
"EXOC3L2","1"
"CAMK2N2","1"
"KCNG3","1"
"KCNG3","1"
"B4GALNT2","0.995773797544778"
"NETO1","1"
"FMR1NB","0.993308239230448"
"GCSAML","1.01961602671119"
"SIGLEC11","0.991398279655931"
"IL23R","1"
"MAGEB18","1"
"IFNL2","0.991231732776618"
"IFNL1","1"
"C4orf36","1.00041684035015"
"FIGNL1","1.00252770756368"
"PITPNM2","1.00021061499579"
"GRK7","1"
"MMEL1","0.948500992374386"
"NLRP6","1"
"AKNAD1","1.00336842105263"
"RTL3","1.00917130691123"
"ATRIP","0.910206007233842"
"ZIC5","1"
"TEDDM1","1"
"TRIM67-AS1","0.989973398813178"
"ZNF114","0.980914512922465"
"CCDC27","1"
"CFAP161","1.00104297037964"
"RBMY2FP","1"
"LINC02899","1"
"LINC00208","0.982821849063887"
"LRRC15","1"
"CFAP46","1"
"CBLL2","1"
"SGCZ","1"
"LINC02551","1"
"WNT9B","1"
"CNPY3","0.950827312980657"
"LINC00471","1"
"HAS3","1.00042087542088"
"FGF4","1"
"SLC30A8","1"
"C11orf65","0.999789429353548"
"GARIN5B","1"
"OR5P2","1"
"DYDC1","1"
"IL27","1"
"IQCF1","1"
"DEFB125","1"
"WFDC10B","1.00442105263158"
"DEFB105B","1"
"PKD1L1","1"
"ADGRG4","1"
"REXO1L1P","1"
"TAF1L","1"
"CNTNAP5","1"
"ADGRF3","1"
"TMC2","1"
"SMCR5","0.981030848821614"
"ZIM3","1"
"DAOA-AS1","1"
"KLHL4","1"
"GPR156","1"
"IL31RA","1.00526537489469"
"ADGRF2","1"
"ASB10","1"
"NFKBID","0.999789517996211"
"CD300LF","1"
"GAL3ST2","1"
"ODF3","1"
"WFDC13","1"
"CCDC197","0.98876404494382"
"SERPINB12","1"
"GIPC3","1.00118946474087"
"PGLYRP3","1"
"PSKH2","1"
"OR6W1P","1.00042122999158"
"MOGAT1","0.984603237268062"
"GPR78","1"
"H1-8","1"
"TAAR9","1"
"GNRHR2P1","1"
"MYOZ3","1"
"MYOZ3","1"
"ASB11","0.992821985233798"
"SDR9C7","1"
"OR5P3","1"
"TRIM40","1"
"CSN1S2AP","1.01980952380952"
"WFDC12","1"
"CRYGN","1"
"STARD6","1"
"C11orf40","1"
"ZBTB7C-AS2","1"
"DEFB119","1"
"TAC4","1.00018975332068"
"BCL2L11","0.980206634040239"
"TIGD1","0.937745413007782"
"CCDC69","1"
"NFX1","1.02048545360647"
"C5orf24","1.00336913034323"
"KBTBD6","1.22846889952153"
"CDK8","0.995697242323489"
"PTK6","1.00497765136124"
"SLC39A12","1"
"GATA4","0.988705795223107"
"C9orf72","1.00021061499579"
"ANKLE1","1.00226991333058"
"LACC1","1.0012082158679"
"TEX55","1"
"RANBP3L","1.01053074978938"
"ATP6V0D2","1.35812883435583"
"LHX4","0.998378597486826"
"RNU6-646P","1.00252737994945"
"DNAH11","1"
"SYNRG","1.09078786531837"
"LRRN4","1.02377946127946"
"ZNF777","1.1578106272473"
"SH2D1B","0.999789650820362"
"SSTR3","1"
"ADAMTS19","1"
"ADAMTS19","1"
"DDX31","0.998527865404837"
"UMODL1","1"
"ZNF441","1.02924217462932"
"NEGR1","1.00842459983151"
