"Gene_Symbol","Tabuchi2011a"
"HSPA6","35.0423977036408"
"CCL5","0.693408004681861"
"ESRRAP1","1.1541339548577"
"SCARB1","1.0121276325268"
"ADAM32","0.357807918191355"
"SPATA17","0.495311994114939"
"PRR22","0.274471076472397"
"PXK","1.02053031663375"
"MSANTD3","1.36026316536282"
"SLC46A1","0.67432320441989"
"TIMD4","2.55138248520036"
"CILP2","0.105513686559491"
"PIGX","0.833659613350108"
"BEST4","0.0843290160312162"
"AK9","0.684126378330428"
"CORO6","0.651716119592765"
"TMEM106A","0.633424725822532"
"ALG10","0.709719464694382"
"RAX2","0.396318929699892"
"KLK8","2.72452659926163"
"CCDC65","0.360295813245097"
"CFAP53","27.7465569665534"
"CENPBD1P","0.501683104507843"
"TRIOBP","0.341067071129611"
"CATSPER1","1.2842595871623"
"HOXD4","0.974461428275251"
"GSC","2.96730762053833"
"SP7","4.01638829548183"
"PDE7A","0.556584381879183"
"PRSS33","11.6735419352318"
"LEAP2","2.53896661550009"
"SCIN","1.90473364311424"
"CTCFL","0.35251876443418"
"C4orf33","6.31327236254751"
"TVP23C","1.19198673639078"
"RDH10","1.52238132110599"
"SRSF12","0.0746126301794815"
"GARIN4","0.324290362991934"
"GAPT","1.424533437014"
"SCUBE1","1.57221233369679"
"ERICH5","17.6922165298438"
"CCDC185","0.200556919477353"
"ENTHD1","0.205165408181685"
"TSSK3","1.05808210641116"
"HSPD1P21","7.11935171523423"
"TMEM266","0.771960454813295"
"CALML6","1.10886266522018"
"NLRP5","0.783821524206929"
"ODF4","3.50014910596066"
"CLEC4F","0.803366605634635"
"DEFB106B","2.11967986667179"
"WFDC9","5.4144873885742"
"TTLL10","0.615924770039422"
"ZNF22-AS1","0.33915262822073"
"KLHL10","0.180805986020371"
"ZNF485","0.0554763566131117"
"WDR17","0.160731239174196"
"MFSD6L","1.45193109585051"
"ANKAR","0.980862543910637"
"MEGF11","4.60497499903097"
"ESX1","1.56955518148555"
"FAM167A-AS1","0.631439621658451"
"SCGB1C2","0.342013706086537"
"DNAJC5G","0.676790388056513"
"WDR88","12.6207163662795"
"PRUNE2","0.421212727810754"
"MBD3L2B","1.28067278384809"
"ADAMTSL1","16.2738046195729"
"MBD3L1","1.98194451586363"
"TENT5D","0.540324061647996"
"SERPINB11","2.56848574869139"
"DSCR10","2.8976887791108"
"ACAP2","1.29371443025168"
"LACTB","0.912633830810546"
"IDI2","0.988638261902758"
"CYP11B1","0.516691401227637"
"SLAMF6","0.713191741218785"
"GPBAR1","2.97398494481064"
"RHBDL2","7.60684027037786"
"BRSK1","0.411777453836878"
"CRB2","12.895088392149"
"KCNE4","0.217105177639781"
"SLC34A3","4.01330388009036"
"WBP2NL","0.712074574519789"
"TMEM74","33.9201742196025"
"TIGD4","1.58476269858804"
"ART5","0.377942169562281"
"GARIN6","0.140758542840348"
"NLRP11","9.58654243572938"
"ATP6V1C2","0.389282497549604"
"CLDN19","1.63701497039858"
"IQCD","0.267238691955123"
"TAGAP","1.00438334206714"
"STON2","0.330216544999719"
"SERPINA12","2.10693607775277"
"LETM2","4.39197312991005"
"BSND","0.193163530816065"
"NLRC4","1.51854997393249"
"PRSS36","1.63082759360145"
"ZDHHC15","3.788212605201"
"RAI1","2.83565069258022"
"NUDT9P1","2.65970568456031"
"BTBD16","0.80928780789422"
"RTP3","5.42484997649401"
"MIPOL1","0.0672152721503696"
"C6orf141","7.66498575224922"
"ALMS1","2.36886909988166"
"MYO3B","24.4242164048152"
"ADAM21","0.535466978204206"
"TRIML2","0.778181169969399"
"ABCC13","5.22867557321109"
"IL12RB1","0.99274366680979"
"GTF2A1L","6.32779029467011"
"CNBD1","2.28371247428954"
"ABCC12","9.24451807816002"
"MMP21","3.97377211638032"
"TMEM190","2.43760550028721"
"GAS2L2","0.722459719595173"
"KCNG4","0.882442959718333"
"PXT1","2.06011788975139"
"CACNG5","0.269658738997117"
"LINC00308","3.89598299236113"
"FAM223A","1.01720734754472"
"WFDC11","0.920372256166554"
"IFNL2","8.17388944401268"
"JAK1","1.44265007561805"
"CDC42SE2","1.62242479800344"
"ACACB","0.432425768702969"
"COP1","1.00422019220207"
"ANLN","1.28058376255296"
"SPRR4","1.05887875233414"
"HSH2D","1.37570540051712"
"JMJD6","2.2978115048445"
"ZNF101","0.672672363270972"
"KLHDC7B","0.461859662751908"
"ZNF626","8.87231241772707"
"IL11RA","1.0674671438117"
"TXNDC2","17.0814631819683"
"C5orf22","1.50139166684212"
"PCDHGB7","0.114382829535252"
"JMJD1C-AS1","0.489173053236622"
"PPP1R3B","1.12676253890706"
"IGSF3","0.40458382919146"
"RFX6","1.48030864538968"
"DIRC1","5.6360368757741"
"DNAJB7","12.1754302703759"
"UCN3","1.22216680371514"
"GRHL1","9.48019498080388"
"CNBD2","6.75313268025892"
"CASKIN1","0.184087089784918"
"ARL11","1.01000249738099"
"TUBA3FP","0.176844816484224"
"CYB5D1","0.79214213491261"
"CREG2","0.238336725764264"
"SPEF2","0.142664943340647"
"FGF1","9.61216573055453"
"RHOXF1","0.817069731137304"
"ADAMTS17","0.684210526315789"
"SNORA17B","1.24128456695366"
"DHH","0.77391402693609"
"ABRA","1.01336423668229"
"RICTOR","0.0194053801641941"
"ST7L","1.26776095561228"
"C2orf15","0.615215426090045"
"KCNH8","0.176217721488201"
"SLCO6A1","1.37453548044594"
"PP2D1","0.760734011682969"
"CIB3","0.525562368635898"
"DOCK8-AS1","0.20603777143396"
"SLC16A11","1.78863793109193"
"TMEM67","1.0157200835262"
