"Gene_Symbol","Amaya2014a"
"SLC35E2A","0.39197284797665"
"IPO13","0.46983104920415"
"PRSS41","0.372322602568037"
"FAM86FP","0.461927498251631"
"AFAP1","0.37545201948311"
"CDT1","0.57439042077577"
"WIPF3","0.330856449580812"
"CCNE2","0.344766713048698"
"HNRNPAB","2.43019105353015"
"BORCS5","0.383982929941499"
"SNIP1","0.441243223743075"
"BCL6B","0.401088237646462"
"ATP13A4","0.358984927935244"
"AFDN","0.338171434146431"
"HMG20B","1.25520584599986"
"MLYCD","0.480568331692624"
"NOC2LP2","0.810943064511414"
"SERTAD2","0.472967714410749"
"HBE1","0.69923936044807"
"ZBED2","0.308129629799167"
"USP21","0.39814244726476"
"RHD","0.358449462903789"
"AUP1","1.24515923054757"
"MFN2","1.49920461842327"
"TIGD1","0.341950185302965"
"LILRA6","0.345603005667686"
"SELENOM","1.32493509886731"
"CTRB2","0.363056143875143"
"ZFPM1","1.32361404462123"
"RNF224","0.364500113185612"
"GPR32","0.341520791445755"
"WNT2B","0.368497369614325"
"GADD45G","0.413974399082004"
"ABCD4","0.36813677915807"
"FAM193A","0.791593735447873"
"MTREX","0.508024469367239"
"NUMBL","0.432469171475839"
"HDAC8","0.462074198495979"
"SEMA3E","0.345073185627431"
"POGLUT3","0.841090253219239"
"MYO15B","0.355544985417806"
"LINC00452","0.352661429677488"
"MUC13","0.344626721381372"
"XRCC2","0.361786435165897"
"AQP3","0.461646018257946"
"FBXO44","0.365415661991757"
"ENTPD2","0.391854638123785"
"MARK4","0.363918211731496"
"KIAA0825","0.360827063903348"
"SPRED3","0.355367165023948"
"C6orf201","0.411587070244885"
"CYP2A13","0.342664465260751"
"GPC2","0.454179293913677"
"RTN3","0.368397760288382"
"PSG7","0.345816323392928"
"ADAM33","0.361379284361659"
"KIAA0586","0.531471958028132"
"FAM135B","0.383439606653582"
"STK10","0.696189884901245"
"EPS8","0.399649917898605"
"RESP18","0.337114262570981"
"IQCD","0.414499644146738"
"RNF2","0.37556947479051"
"ADAMTS20","0.347734318526043"
"MBTPS1","1.63615640377534"
"OOEP","0.347988970666835"
"TGOLN2","1.05230436738806"
"ARMCX3","0.390016634762389"
"TMEM25","0.385270103550091"
"TASL","0.331758091751637"
"TYW3","0.390357240630708"
"TFDP3","0.384023715568098"
"MRTFA","0.622452454314439"
"ZFYVE16","0.456002440906459"
"RRAGB","0.367791845520272"
"FHOD1","0.86817154998432"
"MSH5","0.395997253564517"
"MAP3K11","0.898913865861665"
"SLC38A2","0.45654697463867"
"GSTM4","0.481461094143491"
"TIPARP-AS1","0.357388948404353"
"GALNT11","1.49026609856385"
"BASP1","5.30664878838375"
"EHD1","0.850333427915161"
"RND1","0.437398501614403"
"EML6","0.380697933265055"
"ITSN1","0.422606463514276"
"UBIAD1","0.859796831248869"
"CWF19L1","0.979984409502613"
"RPL19","2.59761983735333"
"KCNA4","0.386827141664631"
"RASL11A","0.348147287271003"
"OR6C76","0.338657843172643"
"ANK3","0.391929526765266"
"TPST1","0.962527239210688"
"ABCC5","0.36931678681091"
"TP53I3","0.407266209505873"
"CCDC167","1.60600448009285"
"SMC1A","0.439653865109186"
"DHX57","0.37497476689264"
"AGFG2","0.349775131229127"
"UPP2","0.348498120542313"
"KCNMB1","0.346211508909556"
"SNED1","0.364773732684334"
"NIM1K","0.395131833491506"
"RPS23","2.03283340432959"
"ELF4","1.21902537181278"
"PAPOLB","0.355441701044395"
"KRAS","0.363634414866159"
"HMGN1","3.2096527861242"
"LMBRD1","1.14973461058162"
"NPY4R","0.367371629542914"
"MRPL43","0.315970419922552"
"LRBA","0.667893181868964"
"PNKD","0.373303308859699"
"DVL2","1.33591889405839"
"GUCY1B2","0.397046645647109"
"LINC00273","0.378335501707566"
"KRTAP9-8","0.383115111398835"
"KIF2B","0.383370284851862"
"COX4I1","1.41637582841072"
"NOL4L","0.373633283296841"
"WDR91","0.510535016436812"
"ATAD5","0.372921388310611"
"CBR3","0.677938707152868"
"POPDC3","0.483355331327621"
"SECTM1","0.383851974966942"
"NOG","0.591052301030786"
"EVX2","0.340628281553574"
"ZNF507","0.396642526874752"
"TTC8","0.471905621940392"
"RNF215","0.482663762835114"
"FN3KRP","1.13673434865367"
"PDHX","0.359519654793788"
"ERCC1","0.54917428706724"
"ELAPOR2","0.483321199125842"
"SUCLG2","1.34385573013033"
"DCHS2","0.341860636261129"
"TRPT1","0.34187267971386"
"UCN2","0.874042766471645"
"CA1","0.349722731646592"
"MTHFD2L","0.341963104488333"
"PARD3B","0.327964034553532"
"TUBA3E","0.391477811096221"
"SLC26A4","0.47830111644647"
"BRAF","0.452449730166893"
"APEX2","1.40370686190989"
"C2CD2","0.196997868432049"
"MTMR9","0.477502094118649"
"RELL2","0.6490790494027"
"DTNA","0.690375011209196"
"TSHB","0.387723441865512"
"POLD1","1.1090290313319"
"ACTR5","0.857746695807638"
"LMNTD2","0.456723387394704"
"C1D","0.352084020794489"
"GLIPR2","0.5989781991759"
"SH3KBP1","0.356525536818424"
"TMEM198B","0.366740259000783"
"SHH","0.382223898633458"
"FAM131B","0.331482354480279"
"RPP38-DT","0.469363648891872"
"ERI1","0.406333249495501"
"TMCO5A","0.3578473520814"
"ATP5MJ","1.46411263332809"
"GLT8D1","0.402261998885314"
"HTR7","0.36705571217038"
"TEX48","0.365549856084967"
"RPL23AP7","0.336722881045349"
"ERF","1.06004155864724"
"PAAF1","1.37606942157801"
"ZNF428","1.53316569628952"
"HIC2","0.464974962623313"
"SMIM20","0.493852542719883"
