"Gene_Symbol","Tabuchi2008"
"DDR1","4.76389258233394"
"HSPA6","94.1500984281816"
"CCL5","1.00787172059209"
"ESRRAP1","0.646787261139707"
"TRADD","0.745576172851714"
"CHURC1-FNTB","1.13658708861882"
"PLD1","1.01437241462716"
"DTX2P1-UPK3BP1-PMS2P11","1.53907734921138"
"BAD","1.05432700287376"
"PRPF8","1.10349950027476"
"CAPNS1","1.00923259375184"
"RPL35","1.17213389178999"
"RPL28","1.11809914964763"
"EIF3D","1.02005189056241"
"PARK7","0.998979484465714"
"SRP14","1.09919291484944"
"GDI2","1.17988371729958"
"RPL11","1.02156368025808"
"ARF3","0.763756546925832"
"SNORA27","1.25550898019981"
"RPL24P4","1.09579792123214"
"HNRNPCP2","1.00811160875577"
"HNRNPA1P7","1.10041489300771"
"RPS27AP16","1.1018273339502"
"RPS13P2","1.09176229019013"
"FAU","1.12374498859094"
"CFL1","1.17240382587748"
"RPS5","1.20992484161228"
"RPL27","1.06309823987553"
"RPL34","1.02915961652402"
"NARS1","0.945859924097084"
"STARD7","0.983733724196939"
"RPL19","1.24390103684199"
"SLC25A3","1.00264956835527"
"RPS11","1.20310254497114"
"MIR3064","0.832432456244354"
"RPL6P27","1.0646065339313"
"CTDNEP1","0.96628993663269"
"RPL10AP6","1.12655966958523"
"PSMB2","1.06842321679338"
"RTCB","0.969134733584936"
"ERH","1.05943604726849"
"SRSF9","1.1685510827575"
"ABCF1","0.813943802663056"
"DAD1","0.891758106228611"
"KAT7","1.25999937577128"
"ZNF146","0.931079252493756"
"SART1","0.953693221534021"
"ILF2","1.01662176505915"
"SPAG7","0.920891744266916"
"ZPR1","0.983543707156547"
"C1DP1","1.04156468955192"
"NONO","0.983130160145994"
"RHOA","1.05265197980251"
"RNPS1P1","0.924682865488291"
"RPS24","1.09583707261757"
"RPL30","1.1180236144029"
"NPM1P6","1.1204493547317"
"ARF1","1.16691747027972"
"IK","1.1356734082372"
"SNX3","1.92834045945433"
"CNPPD1","0.724145855057194"
"SMNDC1","0.811168450495611"
"HNRNPM","0.987780584172795"
"GUK1","1.08182846308357"
"KXD1","1.08500323009683"
"OAZ1","1.17333546315982"
"ATP6V0B","1.06080585260799"
"H3P16","0.931614011058658"
"ELOB","1.2156297648743"
"TMED2","0.992024776557317"
"RPL4P5","1.06335714326974"
"FNTA","0.93461742067626"
"RPS25","0.936818597573152"
"RPL37","1.13867957079246"
"HINT1","1.01457272219308"
"RPS10-NUDT3","1.12006477418506"
"ATP6V0E1","0.648812837793631"
"MIR7-1","0.962782978893264"
"HNRNPU","1.01851630075344"
"EIF3A","0.715916910543201"
"MSN","1.06789009222823"
"ACTN4","0.784468230077694"
"APP","1.54006566440799"
"PRKAR1A","0.766780965080967"
"DSP","1.15197273029528"
"RAD21","0.947343605320204"
"WDR1","0.993272261109524"
"SNORA75","0.813162787141614"
"AP2B1","1.12488671016189"
"AP2M1","0.999660906894583"
"CLTC","1.03424662612545"
"MLEC","1.00012164129927"
"LASP1","0.860526974378634"
"SF3B2","1.24002687200243"
"TMEM59","0.86922196071047"
"CSRP1","1.13399905300381"
"CALM3","1.2800877140078"
"MATR3","1.25498449539888"
"PTGES3","1.17220490972964"
"WARS1","1.23913503765618"
"NDRG1","1.02739912756546"
"UBB","1.53911885359521"
"PFN1","1.13106045014235"
"PTPRF","2.35641949737758"
"YWHAZ","1.02216621104243"
"YWHAZP3","1.03887070776199"
"SOD1","1.37359180493112"
"MARCKSL1","0.793393775922995"
"GABARAP","0.984477691325413"
"NUCB1","2.58808976348428"
"EIF3CL","1.12950298140091"
"GLUL","1.41553361730409"
"LDHA","1.02703716269176"
"SSR2","1.09521851135901"
"P4HB","1.09405946983042"
"SLC25A5","1.08199637871501"
"PHB1","0.873312458878239"
"S100A11","1.03405423062818"
"CTSA","1.22418960188767"
"TOMM20","0.93226082307927"
"CD63","1.06497620791368"
"DNAJB1","18.7223218155556"
"UBE2D3","1.23962995748274"
"LAPTM4A","0.962758733479689"
"RPL32P16","1.12072416958941"
"CD81","0.83736998653644"
"UBE2L3","1.19926085987969"
"PTTG1IP","1.04055564112129"
"HMGB1","1.16494583834861"
"GLO1","1.07471762125911"
"UBE2L5","0.982357402660148"
"SRSF11","1.23930133072694"
"SF3B3","0.619458549639593"
"HSPA9","0.981512261897561"
"YWHAQ","0.987044150649163"
"PPP2R1A","0.99176746489525"
"HK1","1.08878097988766"
"KDELR2","1.0993544511456"
"NPC2","1.15938168705814"
"DDX24","0.816535554408508"
"DYNLL1","0.899286794265232"
"LITAF","1.3126284179594"
"EEF1B2","0.972610605927039"
"GOT2","0.918387556808228"
"ACADVL","1.2323630852269"
"MAPRE1","1.3425423225023"
"OS9","1.18759771426934"
"SNORD34","1.13106466133162"
"RPL13AP5","1.21074842306177"
"RPL7P47","1.10362554342504"
"SKP1P1","1.20130780284572"
"SKP1","0.812271959579732"
"ACTR1A","0.73463689728515"
"CAPRIN1","0.907308414555347"
"RPL10","0.685159974162917"
"SNORA70","1.26329989492189"
"PPP1CC","1.16996318968895"
"ACTR2","1.17108195890002"
"GPX1P1","1.07146704071947"
"PGK1","1.22649076584662"
"SUMO3","0.981314633130156"
"RPS27","1.09154059659919"
"TPP1","1.39749243662553"
"GNB1","0.985525653913375"
"FTH1P2","1.02398345527176"
"RAN","1.02372575083359"
"RANP1","1.12581333873941"
"CAPN1","1.05506773820477"
"SRSF2","0.749619841261932"
"CALU","1.00646014786358"
"NFE2L1","0.985940899396126"
"ARL6IP5","0.994129086808554"
