"","X","gene_id","L2FC","L2FCSE","p.value","p.adjust","symbol"
"67",67,"ENSG00000189409",-0.0042704911009002,0.124324001523932,0.642285238812986,NA,"MMP23B"
"68",68,"ENSG00000248333",0.0655854031692956,0.113767127722442,0.30956277463478,0.711313103664974,"CDK11B"
"69",69,"ENSG00000272004",0.00088838967325228,0.124381600408757,0.888413005589555,NA,NA
"70",70,"ENSG00000189339",-0.256617273377331,0.304243354710543,0.0200225703618412,0.26771493765257,"SLC35E2B"
"71",71,"ENSG00000269737",-0.0157655325720621,0.124655666948734,0.388667615441865,NA,NA
"72",72,"ENSG00000008128",-0.0180907203661999,0.123997522965768,0.454141113369593,NA,"CDK11A"
"73",73,"ENSG00000268575",0.00471718765210884,0.120338302498608,0.882676896575238,0.968863083417813,NA
"74",74,"ENSG00000227775",0.00507780889443463,0.12426925369652,0.629017746248671,NA,NA
"75",75,"ENSG00000215790",-0.0338318511192607,0.113833195503396,0.530984968813371,0.835593001797581,"SLC35E2A"
"76",76,"ENSG00000008130",-0.0533416216988548,0.119489087381371,0.374499642923631,0.752584500221003,"NADK"
"77",77,"ENSG00000078369",-0.00937143080075265,0.0868403627756895,0.887072113443894,0.970025029143012,"GNB1"
"78",78,"ENSG00000231050",0.0400037071021031,0.133438415825234,0.011590481837938,NA,NA
"79",79,"ENSG00000178821",0.0384427677969595,0.131733143448806,0.0656259844257284,NA,"TMEM52"
"80",80,"ENSG00000067606",-0.010931226580517,0.108076383245583,0.847445282168365,0.960363279084544,"PRKCZ"
"81",81,"ENSG00000182873",0.0734196128980858,0.151975803960471,0.0433669435657357,0.374212252626894,"PRKCZ-AS1"
"82",82,"ENSG00000162585",0.00463700320124555,0.112389466372615,0.92296736722267,0.981787644246931,"FAAP20"
"83",83,"ENSG00000157933",-0.0398076980668391,0.0954778566406601,0.537140260857044,0.837299624912443,"SKI"
"84",84,"ENSG00000116151",-0.00824468844034331,0.114258633490942,0.855330170309323,0.962262953763438,"MORN1"
