"Gene_Symbol","Andocsb"
"FBXO39","1"
"B3GNT6","0.969656178136743"
"DENND1B","1.00477393990452"
"ZNF619","1"
"GARIN2","1"
"RAB42P1","1"
"PTCHD1","1"
"M1AP","1.00014040999719"
"ZSCAN4","1.00154450996911"
"VWA5B1","0.970326610986623"
"LINC00311","1.00055370985604"
"HTR6","1"
"MAGEB6","1"
"ELOA3DP","1"
"RUSC1-AS1","0.947720392210022"
"CACNG6","1"
"LMNTD1","1"
"CIRBP-AS1","1"
"AXDND1","1.00489784494822"
"CD200R1","1"
"LINC00334","0.999789429353548"
"ATOH7","1.00460829493088"
"AMER1","1"
"NKX6-3","1.03069995906672"
"TBATA","1"
"EXOC3L2","1.00051599587203"
"CAMK2N2","1"
"KCNG3","1.00056163998877"
"B4GALNT2","0.995907962702086"
"FMR1NB","0.993308239230448"
"GCSAML","1.01307735114079"
"SIGLEC11","0.991398279655931"
"IL23R","1"
"MAGEB18","1"
"IFNL1","1"
"C4orf36","1.00027789356676"
"FIGNL1","1.00836087886448"
"RIMS1","1"
"GRK7","1"
"MMEL1","0.947038545910373"
"PDE8A","1.11202320363378"
"NLRP6","1"
"AKNAD1","1"
"RTL3","0.971394257014958"
"ATRIP","0.902972165434817"
"ZIC5","1"
"TEDDM1","1"
"TRIM67-AS1","0.989973398813178"
"ZNF114","1.00062492188476"
"CCDC27","1"
"CFAP161","1.00069531358643"
"RBMY2FP","1.00196573996069"
"NEUROD2","1.0016849199663"
"LINC02899","1"
"LINC00208","1.00662677732741"
"LRRC15","0.999929839332071"
"CFAP46","1"
"CBLL2","1"
"ZMYM6","1.00042122999158"
"SGCZ","1"
"LINC02551","1"
"WNT9B","1"
"CNPY3","1.01336129884254"
"LINC00471","1"
"HAS3","1.00364758698092"
"FGF4","1"
"SLC30A8","1"
"C11orf65","0.999789429353548"
"GARIN5B","1"
"OR5P2","1"
"DYDC1","1"
"IL27","0.996816168327796"
"IQCF1","1"
"DEFB125","1"
"WFDC10B","1"
"DEFB105B","1"
"PKD1L1","1"
"ADGRG4","1"
"REXO1L1P","1"
"TAF1L","1"
"CNTNAP5","1"
"RECQL4","1.00094988411414"
"ADGRF3","1"
"TMC2","1"
"SMCR5","0.97004534712908"
"ZIM3","1"
"DAOA-AS1","1"
"KLHL4","1"
"SUOX","0.991215226939971"
"IL31RA","1.00351024992979"
"ADGRF2","1"
"ASB10","1"
"NFKBID","0.999789517996211"
"CD300LF","1.00257766924434"
"GAL3ST2","1.00111622715223"
"ODF3","1"
"WFDC13","1"
"CCDC197","0.987674497786857"
"SERPINB12","1"
"GIPC3","1.00016992353441"
"PGLYRP3","1"
"PSKH2","1"
"OR6W1P","1"
"MOGAT1","1.00802737202263"
"GPR78","1"
"H1-8","1.0016849199663"
"TAAR9","1"
"GNRHR2P1","1"
"MYOZ3","1"
"MYOZ3","1"
"ASB11","0.999042931364506"
"OFCC1","1.00028070175439"
"SDR9C7","1"
"OR5P3","1"
"TRIM40","1"
"CSN1S2AP","1.01980952380952"
"WFDC12","1"
"CRYGN","1"
"STARD6","1"
"C11orf40","1"
"ZBTB7C-AS2","1"
"WFDC2","1.00014040999719"
"DEFB119","1"
"TAC4","1"
"TIGD1","0.926251160134218"
"ALKBH5","1.0021059248782"
"CCDC69","1"
"NFX1","1.01331267573306"
"DSG2","1.0613244296049"
"C5orf24","0.999789429353548"
"KBTBD6","1.05604921394395"
"CDK8","1.09269684005104"
"SLC39A12","1"
"GATA4","0.972289082268716"
