"Gene_Symbol","Tabuchi2011d"
"RFC2","0.682500711544147"
"HSPA6","22.0946955273718"
"UBA7","1.40881707182233"
"CCL5","0.604506291250772"
"CYP2E1","0.660973344546419"
"ESRRAP1","0.586083169774289"
"ADAM32","0.470560782402551"
"SPATA17","0.112643409811224"
"PRR22","0.168379414477134"
"PXK","0.555072659642607"
"VPS18","0.418566129199928"
"MSANTD3","0.83132159715456"
"TIMD4","0.279439534949909"
"ATP6V1E2","0.703775291942247"
"CILP2","0.283079313123966"
"PIGX","0.467813435992255"
"SLC39A13","0.460438688789964"
"BEST4","0.0756875558271825"
"CORO6","0.820171045870601"
"TMEM106A","0.571136211423981"
"ALG10","0.545406170356129"
"NEXN","5.67751525296598"
"RAX2","0.532847258546709"
"GIMAP1","0.215524037903966"
"KLK8","18.2135489235152"
"CCDC65","0.318103609500655"
"PABIR3","2.00378982687257"
"CFAP53","25.0726380680823"
"CATSPER1","0.623158046373715"
"HOXD4","0.696953276664719"
"GSC","0.966267049233951"
"SP7","0.491491261012233"
"PDE7A","1.0017306282833"
"PRSS33","0.200112219494031"
"CBARP","0.352854553254975"
"MCMDC2","1.83641419449565"
"LEAP2","2.18984151885838"
"SCIN","0.119047510988378"
"CTCFL","0.688688044057559"
"C4orf33","0.361387262562883"
"TVP23C","0.0985053395043177"
"RDH10","0.311818978428198"
"GARIN4","0.113447201173307"
"GAPT","0.413533317382462"
"ERICH5","10.4662922041849"
"CCDC185","0.138975301115487"
"ENTHD1","0.165408401855756"
"TSSK3","0.245731349484563"
"HSPD1P21","1.19447006024837"
"TMEM266","0.54724610192627"
"BACH1","0.119690391684624"
"CALML6","1.62124449266057"
"NLRP5","0.705725222191191"
"ODF4","8.21317380983622"
"CLEC4F","1.77324631346839"
"DEFB106B","2.73526317286092"
"WFDC9","3.08953554622381"
"TTLL10","0.244880017321706"
"ZNF22-AS1","0.108231649158351"
"KLHL10","0.665878183334402"
"TM2D3","0.454554277976503"
"ZNF485","0.753404229635714"
"MFSD6L","0.924320355613725"
"ANKAR","0.0551770957062347"
"GPR182","3.07864410745562"
"ESX1","1.32700662238305"
"FAM167A-AS1","0.628898641337021"
"SCGB1C2","1.38562199398574"
"DNAJC5G","0.593420332238336"
"WDR88","3.70363541826941"
"MBD3L2B","0.436398290584687"
"MBD3L1","0.1813596769746"
"TENT5D","8.02158527454831"
"SERPINB11","1.51450807430604"
"DSCR10","0.0693862641546815"
"ABHD11","0.327585418170359"
"GAMT","0.767467204013653"
"PLCD3","0.321298702474624"
"IRF6","0.0777827334808717"
"LACTB","0.801065244695875"
"BNC1","0.446328087680047"
"MPP4","15.0046787769213"
"IDI2","0.374256607479957"
"TAF8","0.497218777013568"
"SLAMF6","0.743121855721733"
"GPBAR1","2.98273277874666"
"RHBDL2","9.42938770914676"
"BRSK1","0.778894900524006"
"CRB2","1.73487303046159"
"KCNE4","0.159604010706246"
"CPA6","3.11159478546755"
"WBP2NL","1.18466300916419"
"HIPK1","0.507035140327294"
"TMEM74","28.4338422510516"
"TIGD4","0.127843543117163"
"ART5","0.297633810722398"
"GARIN6","0.195392492947074"
"NLRP11","0.61304661021953"
"IQCD","1.75961820398463"
"TAGAP","1.01834695040851"
"SERPINA12","3.28237421772336"
"LETM2","3.10822042582261"
"BSND","2.13796494841229"
"CLEC4C","0.652641089797053"
"NLRC4","2.51162947141824"
"PRSS36","0.626069019743997"
"ZDHHC15","4.73872922680695"
"NUDT9P1","0.79382095810752"
"BTBD16","0.96266327386013"
"RTP3","0.243199856198667"
"TSPEAR","21.5770118532131"
"MIPOL1","11.8847480643114"
"MYO3B","27.2784825222242"
"ADAM21","0.259876740430924"
"TRIML2","4.23654891708013"
"GTF2A1L","1.06829128807861"
"TRPV3","0.133964252161877"
"CNBD1","0.404682962152668"
"ABCC12","2.69798265276289"
"MMP21","0.270688906457037"
"TMEM190","4.07672491868329"
"GAS2L2","0.0905889084474961"
"KCNG4","4.20420836683208"
"PXT1","1.58360942676752"
"CACNG5","0.683523770295902"
"LINC00308","6.79392929141823"
"FAM223A","1.63341731921255"
"WFDC11","0.452998887380252"
"IFNL2","0.450591926444041"
"CDC42SE2","0.613632705617254"
"ACACB","0.204441813822327"
"COP1","0.497831269501504"
"ANLN","1.34239854727501"
"SPRR4","0.860512698311617"
"HSH2D","0.354979678617227"
"JMJD6","2.72995460397046"
"MAP3K6","0.11253191380719"
"ZNF626","2.39344741845839"
"IL11RA","0.593673901696478"
"TXNDC2","12.1619968936123"
"PCDHGB7","0.131641247717181"
"JMJD1C-AS1","0.965563842890379"
"SH2D3C","1.00263430095754"
"IGSF3","0.296963248162408"
"RFX6","2.93784224791194"
"DIRC1","28.6170307851424"
"DNAJB7","0.889078879412627"
"UCN3","1.04374317566019"
"GRHL1","4.05315184677615"
"CNBD2","10.4628870071447"
"CASKIN1","0.138213813877292"
"ARL11","0.56176121821528"
"NIPA1","4.25089158115642"
"TUBA3FP","1.2210901102231"
"CYB5D1","0.312585019060598"
"SLC4A1","0.449346296658198"
"SPEF2","0.0391361327361808"
"DTD1","0.39102792367726"
"FGF1","0.294358383292764"
"RHOXF1","0.461320241117167"
"ADAMTS17","0.192425455273164"
"SNORA17B","0.917108278270929"
"DHH","0.527362091552548"
"ABRA","0.425935329341317"
"KLHDC1","0.664078496157793"
"ST7L","0.460657456604659"
"C2orf15","0.0617040575007668"
"KCNH8","0.138797752740671"
"SLCO6A1","1.79805723386506"
"PP2D1","5.09585792540174"
"CIB3","0.995546495217187"
"DOCK8-AS1","0.0373070779289435"
