"Gene_Symbol","Tabuchi2011f"
"RFC2","1.2231236649912"
"PTPN21","4.22520612956334"
"EPHB3","3.04822682937231"
"ESRRAP1","1.17764045632974"
"TTLL12","1.15759994693083"
"ADAM32","0.466531475347546"
"PRR22","0.629947921375744"
"MSANTD3","1.33013915034102"
"SLC46A1","0.998484116022099"
"TIMD4","3.65835610200364"
"CILP2","1.00961527668335"
"SLC39A13","1.29645487656819"
"BEST4","0.124931832071835"
"CORO6","1.38915548278655"
"TMEM106A","1.36509171041545"
"ALG10","0.933830204003631"
"TTC39C","1.39416358405261"
"NEXN","19.8957218517604"
"RAX2","0.13819386856844"
"GIMAP1","0.22157027410273"
"KLK8","11.1705264233237"
"PABIR3","2.96192753190063"
"CFAP53","24.3397263328926"
"RBBP6","1.0055782476657"
"CENPBD1P","0.657590369765113"
"TRIOBP","1.70010642546639"
"CATSPER1","1.14131198117681"
"HOXD4","0.863707899051963"
"GSC","1.1480530998707"
"SP7","9.02839940159943"
"PDE7A","2.2259103066397"
"PRSS33","2.36495566233056"
"TIRAP","2.61194238223507"
"LEAP2","3.07874017522862"
"SCIN","0.333018548451852"
"CTCFL","1.92243848818618"
"C4orf33","15.2513988276183"
"TVP23C","1.0084851034842"
"RDH10","0.848174516291116"
"SRSF12","0.0895014402836251"
"GARIN4","0.658205217358618"
"GAPT","1.0724428759421"
"ERICH5","9.06405777421147"
"CCDC185","0.292661185348734"
"ENTHD1","0.0664352348547548"
"TSSK3","0.558931214458207"
"HSPD1P21","13.9162977990901"
"TMEM266","1.76756588384445"
"BACH1","0.179965775129928"
"CALML6","4.04125799809596"
"NLRP5","0.233807560250366"
"ODF4","0.0476280159150415"
"CLEC4F","2.92413324670722"
"DEFB106B","5.78921926544085"
"WFDC9","2.10552334439238"
"TTLL10","1.64588870803966"
"ZNF22-AS1","1.7650454207587"
"KLHL10","0.200105501382096"
"ZNF485","0.0140569879081763"
"WDR17","3.18897991667057"
"MFSD6L","2.37341835289235"
"ANKAR","0.21634865677677"
"MEGF11","5.83909260048839"
"GPR182","3.39688864572473"
"ESX1","0.817360320132246"
"FAM167A-AS1","1.37091365743524"
"SCGB1C2","0.971967662202076"
"DNAJC5G","2.05472317923243"
"WDR88","4.96908143612816"
"PRUNE2","0.112083181024329"
"MBD3L2B","1.20452501651321"
"MBD3L1","1.41990409831851"
"TENT5D","1.93851524326598"
"SERPINB11","2.5499433652882"
"DSCR10","18.7896965419901"
"ABHD11","1.39082942797019"
"GAMT","1.57279995166181"
"PLCD3","3.24294872375295"
"PTPRC","0.314573030645224"
"LACTB","1.58336831351685"
"AFG1L","1.60582674987621"
"IDI2","0.811850571666493"
"SLAMF6","1.97384415761797"
"ZSCAN20","3.27775987795977"
"GPBAR1","14.3639711822948"
"BRSK1","0.582506450519468"
"CRB2","23.5478004291041"
"KCNE4","1.146615631528"
"CD300LG","0.152226213524996"
"SLC34A3","1.9389219613863"
"CPA6","12.7732841815609"
"WBP2NL","1.58519017991234"
"HIPK1","1.39809744108718"
"ACVR1C","3.81270495329694"
"TMEM74","28.6028856287481"
"TIGD4","0.189694134149888"
"ART5","0.332003192338388"
"GARIN6","1.07370936222822"
"LINC01547","1.84583962976955"
"NLRP11","1.35304259515121"
"ATP6V1C2","3.95896580041855"
"IQCD","1.87745181252797"
"STON2","0.189300129425667"
"SERPINA12","6.69310035259371"
"LETM2","3.46896276898554"
"BSND","4.25390125805263"
"NLRC4","1.81022014429626"
"PRSS36","0.768336081937332"
"ZDHHC15","13.5620342624181"
"RAI1","3.03674638382476"
"NUDT9P1","1.41985838047391"
"BTBD16","0.637361696561811"
"RTP3","0.585707945998972"
"TSPEAR","28.5648223219165"
"MIPOL1","0.548560939574643"
"C6orf141","9.94084782121474"
"ALMS1","4.16292152378441"
"ADAM21","0.142499378753699"
"TRIML2","7.76059894827535"
"IL12RB1","1.3643194504079"
"GTF2A1L","4.35303223770811"
"TRPV3","0.202650540143704"
"CNBD1","1.63994873217343"
"MMP21","0.586450133060161"
"TMEM190","2.30436590583119"
"GAS2L2","0.316789667224269"
"KCNG4","3.09478528457764"
"PXT1","6.60381174411379"
"CACNG5","1.47757725536859"
"LINC00308","2.32316334799195"
"FAM223A","2.25670405954982"
"WFDC11","1.06302802293128"
"IFNL2","3.31777753105609"
"COP1","1.24490622949652"
"ANLN","1.66546759585706"
"SPRR4","1.87530325782616"
"HSH2D","1.98426920297574"
"ZNF101","1.53286515266833"
"PTPN11","8.08079385363838"
"ZNF626","2.19559708897138"
"IL11RA","1.02124608782366"
"RFFL","0.417282227573544"
"HPS4","1.5030841225749"
"TXNDC2","14.9701794937648"
"PCDHGB7","1.52487433042395"
"JMJD1C-AS1","0.839064139409698"
"RFX6","4.0890881685934"
"DIRC1","26.6754344522901"
"DNAJB7","13.4267621427209"
"UCN3","1.04900718493455"
"USP28","1.51714305258061"
"KNL1","1.53262818338514"
"GRHL1","16.5548856362593"
"ARL11","1.0226180553078"
"SLC2A13","3.40302823278944"
"TUBA3FP","0.237918260671944"
"CARD16","3.03316474234529"
"RXFP1","10.7569078533592"
"DTD1","1.57887845336657"
"ADAMTS17","1.62472018839954"
"SNORA17B","1.37869585530268"
"DHH","1.47634845386087"
"ABRA","3.01949392379123"
"WWP2","2.22165328801735"
"C2orf15","0.135624001162284"
"KCNH8","0.249332692880639"
"SLCO6A1","1.03546148595697"
"PP2D1","3.81195117700986"
"CIB3","0.0596362625718703"
"DOCK8-AS1","1.57828327479457"
"SLC16A11","4.5896512393702"
"TMEM67","0.175384932588252"
