"Gene_Symbol","Tabuchi2011e"
"ESRRAP1","1.37802839793916"
"TTLL12","0.985501061383336"
"ADAM32","0.984669139208511"
"SPATA17","0.148213227731146"
"PRR22","1.79650694430282"
"PXK","0.722042344147564"
"VPS18","0.848757461522889"
"SLC46A1","1.41770200276243"
"TIMD4","3.62281563069217"
"ZDHHC11","2.26592735642946"
"CILP2","1.32195783343506"
"PIGX","0.886095090086648"
"BEST4","0.135484932537257"
"AK9","0.517192383467255"
"CORO6","0.962947318916942"
"TMEM106A","1.10888584247258"
"ALG10","1.11180249061366"
"TTC39C","0.995633932795136"
"RAX2","0.738378645029322"
"GIMAP1","0.256977546504286"
"KLK8","9.81957848676351"
"CCDC65","0.346176576267369"
"PABIR3","0.277562189738865"
"CFAP53","45.7091754605616"
"ARMCX4","0.443163076298495"
"CENPBD1P","0.590985464882096"
"TRIOBP","1.31016987896054"
"CATSPER1","0.513487152092099"
"HOXD4","5.85398722129031"
"GSC","1.46262834261579"
"SP7","12.530889659121"
"PDE7A","1.45645225039237"
"PRSS33","11.6440485956483"
"MCMDC2","1.99132781595111"
"LEAP2","1.88173984388559"
"SCIN","0.0561248642817493"
"CTCFL","0.120794379552318"
"C4orf33","0.997129192825258"
"TVP23C","1.48131674380397"
"RDH10","1.02195532231481"
"SRSF12","0.0594400177265677"
"GARIN4","2.32926353675268"
"GAPT","1.47061849503529"
"ERICH5","2.49920375285476"
"CCDC185","2.217816480203"
"ENTHD1","0.508039827245419"
"TSSK3","0.95684869258134"
"HSPD1P21","2.08749846305176"
"CLEC12A","0.992596394107403"
"TMEM266","0.786709547627031"
"CALML6","2.14380521176965"
"NLRP5","0.704744459594881"
"ODF4","9.99063614567056"
"CLEC4F","1.28009765125116"
"DEFB106B","3.92654098065421"
"WFDC9","6.85152974017478"
"NEDD1","1.00286114947563"
"ZNF22-AS1","0.841274017747315"
"KLHL10","1.85423550469467"
"TM2D3","1.11729428063776"
"ZNF485","0.0628527517952251"
"WDR17","4.64516642479285"
"MFSD6L","1.36378182746829"
"CDH23","0.45067833847263"
"ANKAR","0.682162804215421"
"GPR182","3.29244390306008"
"ESX1","1.15465330766362"
"FAM167A-AS1","1.93152579054948"
"SCGB1C2","0.240083610697172"
"DNAJC5G","2.4968285126726"
"WDR88","0.405265614938828"
"MBD3L2B","1.30383902209984"
"MBD3L1","1.17746310484908"
"TENT5D","10.8180021692008"
"SERPINB11","1.99576824133375"
"DSCR10","8.41157374735356"
"ACAP2","1.24339951941318"
"GAMT","0.981707017722743"
"PLCD3","1.41226537246131"
"IRF6","0.415286503355011"
"LACTB","0.809244728765513"
"MPP4","2.36943036196386"
"AFG1L","1.00330102197856"
"IDI2","3.23888663507419"
"SLAMF6","0.505725147396936"
"ZSCAN20","2.50592398364387"
"GPBAR1","4.62765987084408"
"RHBDL2","13.0431985331076"
"BRSK1","0.833890556958133"
"CRB2","20.656070503815"
"KCNE4","1.75909461456157"
"CPA6","12.3528633195094"
"WBP2NL","0.410929160336093"
"HIPK1","2.56456361667274"
"ACVR1C","4.72824268382458"
"TIGD4","0.164914381511196"
"ART5","0.439015812599212"
"GARIN6","0.224335932555474"
"LINC01547","1.74026020022667"
"NLRP11","7.87964242273946"
"VTI1A","0.679396814422166"
"IQCD","0.232731986604732"
"TAGAP","1.00811704351131"
"SERPINA12","0.606711640796784"
"LETM2","1.41411818285324"
"BSND","0.156950582780048"
"NLRC4","2.28175610904627"
"PRSS36","0.370264019156834"
"ZDHHC15","13.5649026871647"
"NUDT9P1","0.2756980102061"
"BTBD16","0.56566685889928"
"RTP3","0.276092711106959"
"TSPEAR","24.8629203226252"
"MIPOL1","0.117586877086002"
"MYO3B","6.37990779830112"
"ADAM21","1.66978096630425"
"TRIML2","2.21154322271408"
"IL12RB1","1.1631887791613"
"GTF2A1L","6.08163204937955"
"TRPV3","1.76504700341934"
"CNBD1","1.00721048293288"
"MMP21","0.382027970470666"
"TMEM190","0.901856100251262"
"GAS2L2","0.0913906898600162"
"KCNG4","7.01222588783233"
"PXT1","1.08673317423487"
"CACNG5","1.20425317691568"
"LINC00308","1.00322535121503"
"FAM223A","1.82359828961537"
"WFDC11","0.766151844308667"
"IFNL2","3.60616639732883"
"JAK1","0.78892083314616"
"CDC42SE2","1.15059415380459"
"COP1","1.02119744799352"
"ANLN","1.39361855708233"
"SPRR4","1.16944023894971"
"HSH2D","0.274240506593485"
"TMEM163","1.10497647579314"
"HERPUD2","0.609330954629239"
"JMJD6","3.93466359509452"
"ZNF101","0.543809332952245"
"KLHDC7B","5.92740369236394"
"IL11RA","0.857547022277826"
"TXNDC2","1.26014569854994"
"NAV3","0.309420741172092"
"C5orf22","1.32788176095332"
"PCDHGB7","0.812384332073075"
"JMJD1C-AS1","0.239767232334291"
"SH2D3C","0.191318602217531"
"PPP1R3B","1.0074685788582"
"RFX6","1.34010454118037"
"DIRC1","33.5386953024248"
"DNAJB7","2.73439790064349"
"UCN3","1.15834490381893"
"USP28","1.49022437595479"
"SENP8","0.33675326372308"
"GRHL1","2.80204935576033"
"CNBD2","6.78221751786187"
"ARL11","0.574064634519319"
"SLC2A13","5.92338287817021"
"NIPA1","3.54122516769451"
"TUBA3FP","0.952463921821143"
"CARD16","0.221709069854569"
"DUSP19","0.492056738357471"
"SPEF2","0.067537467311912"
"DTD1","0.42052805721238"
"ARPP21","1.00895238346968"
"ADAMTS17","0.197246194027627"
"SNORA17B","1.36952991167768"
"DHH","0.181789393325354"
"ABRA","8.07118562874252"
"RICTOR","0.803509790434843"
