"Gene_Symbol","Tabuchi2011g"
"HSPA6","67.1873993146071"
"EPHB3","3.33855648497329"
"ESRRAP1","1.06864113101079"
"WFDC2","1.69075125356188"
"MAPK1","2.04298709453113"
"ADAM32","0.257305700337841"
"SPATA17","0.154805949373501"
"PRR22","0.337188748847218"
"VPS18","0.578540906380115"
"MSANTD3","1.44676151466707"
"TIMD4","0.266329405737705"
"SLC39A5","2.53965433997914"
"CILP2","1.00565512070169"
"BEST4","0.152250129284002"
"AK9","0.995412441849671"
"CORO6","1.31086977347744"
"TMEM106A","1.14215850906498"
"ALG10","1.30594284339842"
"TTC39C","1.37868459623572"
"NEXN","10.9633837344383"
"RAX2","0.854662363012388"
"KLK8","20.1392179842621"
"CCDC65","2.29123875818501"
"PABIR3","3.98281101745025"
"CFAP53","40.1997546872262"
"TRIOBP","4.1363723460005"
"CATSPER1","1.5673487272138"
"HOXD4","0.803588593399551"
"GSC","0.904597832362646"
"SP7","2.61769468026817"
"PDE7A","1.13324047035228"
"CNOT7","1.58767981056577"
"PRSS33","0.484151724676745"
"MCMDC2","0.282371488478459"
"LEAP2","5.16800443593922"
"CTCFL","0.513858200834962"
"C4orf33","26.528209012969"
"TVP23C","0.510203161627697"
"RDH10","0.740711163110204"
"GARIN4","0.227086898068932"
"GAPT","1.03178310802728"
"ERICH5","18.3265724338004"
"CCDC185","0.744686197294492"
"ENTHD1","0.077283068864162"
"TSSK3","0.491451792994209"
"HSPD1P21","1.23833456289192"
"TMEM266","1.42221609385137"
"CALML6","1.03805322469945"
"NLRP5","0.435087315798985"
"ODF4","8.82385218231484"
"CLEC4F","1.69268403126415"
"DEFB106B","1.39287779262756"
"WFDC9","5.47423603428162"
"TTLL10","4.15475609806084"
"ZNF22-AS1","0.84624366049874"
"KLHL10","0.703753447944063"
"ZNF485","0.0349982776438167"
"WDR17","1.30553813023735"
"MFSD6L","0.896360465905055"
"CDH23","6.77003716856407"
"ANKAR","0.12579355050671"
"GPR182","0.419771310987464"
"ESX1","1.58021953653398"
"FAM167A-AS1","0.963942660948793"
"SCGB1C2","3.78716303639787"
"DNAJC5G","1.08149887829501"
"WDR88","2.04060688989053"
"MBD3L2B","1.10379047725157"
"MBD3L1","1.25662055844089"
"TENT5D","0.327955850014362"
"SERPINB11","1.27866715853007"
"DSCR10","0.239612058024133"
"ABHD11","0.991641167440962"
"PLCD3","0.489569091188961"
"IRF6","0.447647244558284"
"PTPRC","0.0454702893189518"
"LACTB","1.60239921914116"
"IDI2","1.83912954466384"
"TAF8","1.27662645168565"
"SLAMF6","1.64638393771768"
"GPBAR1","4.80849487109482"
"RHBDL2","0.321227517099671"
"BRSK1","0.415928383952701"
"CRB2","17.4117015582387"
"KCNE4","6.607797931421"
"SLC34A3","2.53490084490871"
"CPA6","9.58167070273309"
"WBP2NL","1.01442276116626"
"HIPK1","0.0333545216572607"
"TMEM74","2.16684231633728"
"TIGD4","1.33047711341863"
"ART5","0.285702884505758"
"GARIN6","1.71711827934615"
"NLRP11","1.26361285294222"
"ATP6V1C2","3.15557365758033"
"IQCD","1.413548048581"
"SERPINA12","6.49266839277118"
"LETM2","4.48025731526813"
"BSND","0.533988694329129"
"NLRC4","1.2054960394208"
"PRSS36","2.33992657908576"
"ZDHHC15","1.62345211866734"
"CDK15","1.00937708118331"
"ZNF570","1.4891709546406"
"NUDT9P1","0.569690256734839"
"BTBD16","0.908999458974191"
"RTP3","0.345868173961788"
"MIPOL1","0.0561941282999181"
"C6orf141","2.61993724586175"
"ALMS1","4.65318530909141"
"MYO3B","20.5412164763686"
"ADAM21","0.0675004813986486"
"TRIML2","2.98199590005645"
"GTF2A1L","1.94226398536756"
"CNBD1","2.27751885433438"
"ABCC12","1.50181756164117"
"MMP21","1.04921555746083"
"TMEM190","0.688032787462954"
"GAS2L2","0.705050129560587"
"KCNG4","1.09056028388456"
"PXT1","5.42929005070804"
"CACNG5","1.91219050815396"
"LINC00308","0.311714147842634"
"FAM223A","0.629663045864654"
"WFDC11","0.335049879309044"
"IFNL2","5.64967987861293"
"COP1","1.19863997886193"
"ANLN","1.67599078445479"
"SPRR4","1.36914566030604"
"HSH2D","1.29406899662911"
"ZNF101","0.816897710390487"
"KLHDC7B","5.45326280674496"
"ZNF626","3.20806106677103"
"IL11RA","0.729444953317911"
"TXNDC2","4.35808455733976"
"C5orf22","1.47648483062088"
"PCDHGB7","2.70480018079317"
"ERC1","1.64284953070702"
"JMJD1C-AS1","0.235418662469778"
"SH2D3C","0.201008958437929"
"RFX6","2.95991205265778"
"DIRC1","6.87861511549217"
"DNAJB7","3.56853384700567"
"UCN3","2.48401250960463"
"USP28","1.61465116372645"
"KNL1","1.49393261849219"
"GRHL1","11.211893961767"
"CNBD2","5.3236958704005"
"ARL11","1.00720024130538"
"SLC2A13","4.38368988780259"
"TUBA3FP","0.789439793947199"
"CARD16","2.03615340076973"
"DUSP19","6.35009702107363"
"CYB5D1","0.781239598314377"
"NMNAT2","0.982406103495606"
"RXFP1","5.33789431019301"
"RHOXF1","0.39656427714044"
"ADAMTS17","0.692682006415286"
"SNORA17B","1.43151126832633"
"DHH","0.834947173972461"
"ABRA","3.41428171105012"
"C2orf15","0.181713803735451"
"KCNH8","0.130803139839603"
"SLCO6A1","5.09553934828223"
"PP2D1","2.96297362619046"
"CIB3","0.374157966961385"
"DOCK8-AS1","0.199798255164353"
"SLC16A11","1.31032621552014"
"TMEM67","0.281505300722627"
"HS6ST2","0.266043330293856"
"CAMKK1","2.90227657938161"
"ZNF625","1.31380127717536"
