"Gene_Symbol","Tabuchi2011h"
"HSPA6","60.9380217333997"
"UBA7","1.45750525201788"
"CCL5","0.98595441688071"
"EPHB3","2.36354110185755"
"ESRRAP1","0.857615462463199"
"MIR4435-2HG","1.94547278689408"
"WFDC2","1.52494238401331"
"ADAM32","0.950604230855009"
"PRR22","0.349777580875572"
"VPS18","1.15852487539052"
"TIMD4","2.77345528802368"
"SLC39A5","1.02065641544413"
"CILP2","1.53505208281217"
"PIGX","0.771783361548752"
"BEST4","0.0645127168445301"
"AK9","0.346957616016999"
"CORO6","1.28117624517736"
"TMEM106A","0.988600864074443"
"ALG10","0.474585107834073"
"NEXN","10.7358012495083"
"C15orf40","1.01784445178784"
"RAX2","0.363208008539267"
"MFAP3","2.93795577880432"
"KLK8","3.63902076351388"
"PABIR3","4.73793934124849"
"CFAP53","36.9856794685952"
"RBBP6","0.98037702724705"
"CENPBD1P","0.479738298827293"
"CATSPER1","1.08401709453011"
"HOXD4","0.439648868198353"
"GSC","1.13695586792208"
"SP7","5.09353394938221"
"PRSS33","8.84100941443025"
"CBARP","0.679235167977127"
"LEAP2","5.12021891179739"
"SCIN","0.199257084405406"
"CTCFL","2.0871269319595"
"C4orf33","20.1305355697236"
"TVP23C","1.41675933161027"
"RDH10","1.3369444114056"
"SRSF12","0.0284181697318857"
"GARIN4","3.05772736669987"
"GAPT","0.622619332456035"
"ERICH5","2.04644323197418"
"CCDC185","0.0562740768812509"
"ENTHD1","0.136167734420501"
"TSSK3","0.693108462517203"
"HSPD1P21","1.02743452600516"
"TMEM266","0.624751255379133"
"BACH1","0.104091139561415"
"CALML6","0.698972701308477"
"NLRP5","2.30804488179921"
"ODF4","4.51315710996863"
"CLEC4F","2.34455535211545"
"DEFB106B","11.7852469261901"
"WFDC9","3.16740500192841"
"TTLL10","2.54787249304221"
"ZNF22-AS1","0.157773165902528"
"KLHL10","0.138472651759145"
"ZNF485","0.0440393227165532"
"WDR17","6.65611160526193"
"MFSD6L","1.82986644533915"
"ANKAR","1.03824332179231"
"GPR182","4.68396114420208"
"ESX1","0.172929875313732"
"FAM167A-AS1","0.534873685757418"
"SCGB1C2","0.222309868203842"
"DNAJC5G","1.19952494458243"
"WDR88","14.3062357079569"
"PRUNE2","0.210374999274719"
"MBD3L2B","0.803767398553204"
"MBD3L1","0.677707358461459"
"TENT5D","8.06377638710346"
"SERPINB11","1.72062267306089"
"DSCR10","0.224539527857404"
"ACAP2","1.66011888200329"
"GAMT","1.64711235984758"
"PLCD3","2.20144239910903"
"PTPRC","0.33999454849889"
"LACTB","1.94984600290293"
"IDI2","2.0510285977686"
"SLAMF6","1.12043980058731"
"GPBAR1","3.22352108673728"
"RHBDL2","5.30409467246239"
"BRSK1","1.51326871391553"
"CRB2","9.33283456102289"
"SLC34A3","3.01224306413568"
"CPA6","11.0771231833616"
"WBP2NL","0.524731926668973"
"HIPK1","0.58490658452563"
"TMEM74","7.93934956771528"
"TIGD4","0.16483911251005"
"ART5","0.292911956359682"
"GARIN6","0.219144424156987"
"NLRP11","1.92907499911432"
"CLDN19","1.81043241234048"
"IQCD","0.956426796709826"
"TAGAP","2.44923399401991"
"SERPINA12","4.70725614436826"
"LETM2","6.80504383468063"
"BSND","3.97195318027874"
"CLEC4C","0.596042998795292"
"NLRC4","4.32036965405896"
"PRSS36","1.28016358874076"
"ZDHHC15","16.9850414700982"
"NUDT9P1","1.0217453222042"
"BTBD16","1.15155262516424"
"RTP3","0.43050170504975"
"TSPEAR","35.6967691436098"
"MIPOL1","0.0581831127151749"
"C6orf141","1.40066596228348"
"ALMS1","1.85033888482081"
"MYO3B","16.3029367569943"
"ADAM21","0.436965822309573"
"TRIML2","0.565133644295235"
"IL12RB1","1.01123228853585"
"GTF2A1L","3.76258276349976"
"CNBD1","0.806233678193682"
"ABCC12","0.533817366728389"
"MMP21","1.00597378881849"
"TMEM190","2.26656024132475"
"GAS2L2","0.144723002744279"
"KCNG4","3.00022178481329"
"PXT1","1.44951443101464"
"CACNG5","1.36916802693069"
"LINC00308","3.24232969318773"
"FAM223A","3.91870445682742"
"WFDC11","1.22337255789394"
"IFNL2","5.0094371044743"
"JAK1","1.98792349683102"
"CDC42SE2","1.43785879070766"
"ANLN","2.76017748634193"
"SPRR4","1.81053087837435"
"HSH2D","0.165582302644495"
"JMJD6","6.9779117826411"
"ZNF101","1.69547650621564"
"ATAD3B","1.02253221124731"
"ZNF626","10.3437180049729"
"IL11RA","0.473720126814427"
"HPS4","1.52687932147475"
"C5orf22","1.45111901804324"
"PCDHGB7","0.259163953751153"
"JMJD1C-AS1","0.186378358651521"
"IGSF3","0.705436471823591"
"RFX6","0.265202721389457"
"DIRC1","7.32653829947521"
"DNAJB7","20.6566072500384"
"UCN3","1.57416119596134"
"GRHL1","18.0523820110631"
"CNBD2","14.3771850877497"
"CACNA2D4","0.464272313211806"
"ARL11","0.276129254061487"
"SLC2A13","11.1039359284245"
"TUBA3FP","1.53668421650695"
"CARD16","3.42768468376418"
"DUSP19","9.20560608360073"
"CYB5D1","0.581964340666587"
"RXFP1","8.21561447399684"
"SPEF2","0.139263578706904"
"FGF1","2.51903045733307"
"RHOXF1","0.11696052001548"
"ADAMTS17","1.69497771611917"
"SNORA17B","1.17869140581548"
"DHH","0.288147366238466"
"ABRA","2.3195908265398"
"C2orf15","0.111335092901997"
"KCNH8","0.0472412398839889"
"SLCO6A1","4.64600449983568"
"PP2D1","7.35589111048815"
"KLC3","3.77079840888766"
"CIB3","0.0463013658971553"
